[0.5487, 0.8017],[0.4242, 0.7953],[0.2912, 0.6954],[0.288, 0.5864],[0.4046, 0.5702],[0.3874, 0.431],[0.3463, 0.2247],[0.326, 0.0807],[0.3089, -0.0386],[0.505, 0.4281],[0.487, 0.3629],[0.4821, 0.5148],[0.4847, 0.6213],[0.6127, 0.4612],[0.6023, 0.4122],[0.5747, 0.5507],[0.5584, 0.644],[0.7129, 0.5179],[0.7021, 0.4603],[0.663, 0.5598],[0.6374, 0.6303]
[0.5001, 0.9133],[0.3582, 0.8615],[0.2307, 0.7593],[0.2253, 0.6536],[0.3382, 0.6246],[0.3244, 0.4915],[0.2808, 0.2873],[0.2603, 0.1655],[0.2454, 0.059],[0.4463, 0.5002],[0.426, 0.4358],[0.4092, 0.5921],[0.4009, 0.7021],[0.5563, 0.5353],[0.5413, 0.4854],[0.5038, 0.6266],[0.4806, 0.7201],[0.6573, 0.5904],[0.6515, 0.5299],[0.6063, 0.6237],[0.5784, 0.6894]
[0.4997, 0.9262],[0.3594, 0.8748],[0.2337, 0.77],[0.236, 0.6691],[0.3491, 0.6447],[0.3302, 0.5084],[0.2871, 0.3009],[0.2698, 0.1776],[0.259, 0.0683],[0.4516, 0.5181],[0.4266, 0.4521],[0.4089, 0.6112],[0.4044, 0.7209],[0.561, 0.5559],[0.5415, 0.4956],[0.5049, 0.6408],[0.4871, 0.7373],[0.6626, 0.6138],[0.6524, 0.5476],[0.6049, 0.642],[0.5787, 0.7101]
[0.5078, 0.9302],[0.3714, 0.882],[0.2465, 0.7773],[0.243, 0.6747],[0.3535, 0.6508],[0.3398, 0.5166],[0.2986, 0.3084],[0.2836, 0.1872],[0.2741, 0.0787],[0.4606, 0.5254],[0.4395, 0.4595],[0.4263, 0.6206],[0.4225, 0.7277],[0.5695, 0.561],[0.551, 0.5082],[0.5176, 0.6552],[0.4999, 0.7465],[0.6705, 0.6159],[0.6616, 0.5543],[0.6171, 0.6511],[0.5928, 0.7145]
[0.5175, 0.9368],[0.3848, 0.8841],[0.2644, 0.7659],[0.278, 0.6615],[0.3905, 0.6439],[0.37, 0.5104],[0.3372, 0.3062],[0.3293, 0.1837],[0.3254, 0.0755],[0.4897, 0.5239],[0.4791, 0.4551],[0.4634, 0.6053],[0.4583, 0.6998],[0.5981, 0.5633],[0.5883, 0.5192],[0.5517, 0.6539],[0.5331, 0.7282],[0.6995, 0.6201],[0.6958, 0.5615],[0.6505, 0.6501],[0.627, 0.7002]
[0.54, 0.9456],[0.4081, 0.8854],[0.2975, 0.7547],[0.3305, 0.6541],[0.4438, 0.6458],[0.4092, 0.5137],[0.3934, 0.3044],[0.3965, 0.181],[0.4001, 0.0712],[0.5281, 0.532],[0.5372, 0.465],[0.5199, 0.6137],[0.505, 0.7077],[0.6326, 0.5756],[0.6401, 0.5366],[0.6034, 0.6682],[0.5764, 0.7405],[0.7267, 0.6359],[0.7385, 0.5845],[0.6967, 0.6736],[0.6691, 0.7247]
[0.5507, 0.9594],[0.4208, 0.8948],[0.316, 0.7513],[0.3663, 0.6524],[0.485, 0.6509],[0.4412, 0.518],[0.441, 0.3075],[0.4545, 0.1857],[0.4662, 0.0754],[0.5582, 0.542],[0.5831, 0.4732],[0.5552, 0.6204],[0.5278, 0.7103],[0.6575, 0.5893],[0.6766, 0.5502],[0.6306, 0.6789],[0.5941, 0.7473],[0.7446, 0.652],[0.7689, 0.5984],[0.7248, 0.6825],[0.6913, 0.7303]
[0.5676, 0.9667],[0.4354, 0.8952],[0.3402, 0.7426],[0.3996, 0.646],[0.517, 0.6569],[0.4733, 0.5213],[0.4843, 0.3078],[0.507, 0.1861],[0.5277, 0.0769],[0.5866, 0.5518],[0.6153, 0.4781],[0.5828, 0.6192],[0.5541, 0.7066],[0.6824, 0.6032],[0.7051, 0.5575],[0.6552, 0.6842],[0.618, 0.7543],[0.7665, 0.6697],[0.7934, 0.6092],[0.7467, 0.6912],[0.712, 0.7424]
[0.5681, 0.9697],[0.4457, 0.884],[0.3643, 0.7337],[0.4234, 0.6414],[0.536, 0.6522],[0.5026, 0.5114],[0.528, 0.3051],[0.5575, 0.185],[0.5829, 0.0791],[0.613, 0.5495],[0.6471, 0.4797],[0.6058, 0.6153],[0.5671, 0.71],[0.7053, 0.6065],[0.7299, 0.565],[0.6734, 0.6851],[0.6271, 0.7629],[0.7841, 0.678],[0.8158, 0.6183],[0.7678, 0.6922],[0.7275, 0.747]
[0.5705, 0.9597],[0.4548, 0.8703],[0.3833, 0.7235],[0.4451, 0.6351],[0.5562, 0.6437],[0.525, 0.505],[0.5643, 0.2969],[0.6038, 0.1783],[0.6392, 0.0745],[0.6333, 0.55],[0.6796, 0.4748],[0.6313, 0.6102],[0.5874, 0.7035],[0.722, 0.612],[0.7549, 0.5674],[0.6934, 0.6849],[0.6437, 0.7579],[0.796, 0.6877],[0.8356, 0.6279],[0.7848, 0.6989],[0.7404, 0.7489]
[0.5689, 0.9565],[0.4582, 0.8631],[0.3933, 0.7129],[0.4621, 0.6252],[0.5735, 0.636],[0.5348, 0.5034],[0.5822, 0.2942],[0.6277, 0.1761],[0.6683, 0.0725],[0.6439, 0.5511],[0.6927, 0.4792],[0.6448, 0.614],[0.5996, 0.7065],[0.7331, 0.6151],[0.7666, 0.5737],[0.7056, 0.6903],[0.6571, 0.761],[0.807, 0.6917],[0.8485, 0.6356],[0.7983, 0.706],[0.7555, 0.7547]
[0.571, 0.9594],[0.4628, 0.8642],[0.4044, 0.7113],[0.4777, 0.6254],[0.5877, 0.6332],[0.5474, 0.5021],[0.6002, 0.295],[0.6481, 0.1789],[0.6916, 0.0759],[0.6545, 0.5531],[0.7077, 0.4795],[0.6527, 0.6162],[0.6049, 0.7093],[0.7412, 0.6208],[0.7778, 0.5762],[0.7106, 0.6945],[0.6617, 0.766],[0.8118, 0.7019],[0.8573, 0.6411],[0.8012, 0.7128],[0.7559, 0.763]
[0.5732, 0.9594],[0.4646, 0.8577],[0.4121, 0.7043],[0.4929, 0.6229],[0.6027, 0.6347],[0.5584, 0.4994],[0.6178, 0.298],[0.6695, 0.1832],[0.7158, 0.0808],[0.6652, 0.5532],[0.7247, 0.4798],[0.6674, 0.6162],[0.6138, 0.7149],[0.75, 0.6226],[0.7902, 0.5824],[0.72, 0.6972],[0.6633, 0.7714],[0.8167, 0.7045],[0.8667, 0.6483],[0.8087, 0.7171],[0.757, 0.7681]
[0.5718, 0.9563],[0.4667, 0.851],[0.4205, 0.6983],[0.5054, 0.6234],[0.6133, 0.6388],[0.571, 0.4964],[0.635, 0.295],[0.6908, 0.1804],[0.7396, 0.0805],[0.6748, 0.554],[0.7387, 0.4816],[0.68, 0.6142],[0.6232, 0.7131],[0.7562, 0.6264],[0.7996, 0.5851],[0.7298, 0.6948],[0.6713, 0.7687],[0.8191, 0.7112],[0.8698, 0.6591],[0.8135, 0.7233],[0.7615, 0.772]
[0.5716, 0.9576],[0.4686, 0.8509],[0.4279, 0.6954],[0.5138, 0.6162],[0.6213, 0.6285],[0.5792, 0.4944],[0.6498, 0.2968],[0.7094, 0.1854],[0.763, 0.0886],[0.6822, 0.552],[0.7563, 0.4795],[0.6954, 0.6038],[0.6344, 0.6971],[0.7619, 0.6242],[0.8128, 0.5841],[0.7411, 0.6879],[0.6787, 0.7568],[0.8218, 0.7092],[0.8763, 0.6645],[0.8177, 0.7252],[0.7613, 0.7693]
[0.5756, 0.9536],[0.4746, 0.8434],[0.4387, 0.6901],[0.5254, 0.6151],[0.6289, 0.6267],[0.59, 0.4914],[0.6644, 0.2944],[0.7271, 0.1838],[0.7828, 0.0879],[0.6914, 0.5507],[0.7631, 0.4826],[0.7025, 0.6054],[0.6419, 0.6986],[0.7698, 0.6237],[0.8175, 0.5851],[0.7469, 0.6884],[0.6856, 0.7585],[0.8291, 0.7091],[0.8817, 0.6666],[0.8251, 0.7265],[0.7706, 0.7707]
[0.5806, 0.9496],[0.4799, 0.8361],[0.4481, 0.6844],[0.5356, 0.6096],[0.6368, 0.6215],[0.6026, 0.4874],[0.6808, 0.2941],[0.7458, 0.1848],[0.8034, 0.0898],[0.7023, 0.5498],[0.7787, 0.4827],[0.7134, 0.6064],[0.6476, 0.7005],[0.7785, 0.6247],[0.8294, 0.5879],[0.7532, 0.6907],[0.6875, 0.7605],[0.8351, 0.7105],[0.893, 0.6682],[0.8322, 0.7278],[0.7728, 0.7721]
[0.5791, 0.9458],[0.4828, 0.8311],[0.4532, 0.6775],[0.5436, 0.6036],[0.6479, 0.6212],[0.6119, 0.4871],[0.6971, 0.2953],[0.7669, 0.1879],[0.8279, 0.0949],[0.7108, 0.5514],[0.7905, 0.4851],[0.7259, 0.6103],[0.6595, 0.7068],[0.786, 0.6275],[0.8387, 0.5929],[0.7636, 0.6951],[0.6973, 0.7658],[0.8412, 0.7141],[0.9002, 0.6732],[0.8413, 0.7319],[0.7831, 0.7766]
[0.5801, 0.9416],[0.4856, 0.8262],[0.4627, 0.6743],[0.5557, 0.6034],[0.6587, 0.6198],[0.6248, 0.4863],[0.7131, 0.2952],[0.7836, 0.1893],[0.8458, 0.0981],[0.7216, 0.5535],[0.8049, 0.4918],[0.7339, 0.6118],[0.6642, 0.7042],[0.7937, 0.6323],[0.8503, 0.5941],[0.7701, 0.6929],[0.7034, 0.7621],[0.8449, 0.721],[0.9094, 0.6754],[0.8478, 0.7307],[0.7882, 0.7749]
[0.5815, 0.9433],[0.4909, 0.8281],[0.4698, 0.6731],[0.563, 0.6007],[0.668, 0.6176],[0.6328, 0.4855],[0.7245, 0.2966],[0.796, 0.1923],[0.8591, 0.1018],[0.728, 0.554],[0.8149, 0.4926],[0.741, 0.6078],[0.6676, 0.6935],[0.7989, 0.6333],[0.8596, 0.5934],[0.7762, 0.6894],[0.7068, 0.7531],[0.8491, 0.7225],[0.9143, 0.6795],[0.8487, 0.7339],[0.7865, 0.7746]
[0.5877, 0.9404],[0.4996, 0.8172],[0.484, 0.6637],[0.5788, 0.5984],[0.6798, 0.6226],[0.6514, 0.4831],[0.7468, 0.2976],[0.8198, 0.1968],[0.8845, 0.1095],[0.7445, 0.5564],[0.8298, 0.4963],[0.7517, 0.6095],[0.6762, 0.696],[0.8131, 0.6386],[0.8707, 0.6035],[0.7857, 0.6978],[0.716, 0.7628],[0.8606, 0.7289],[0.9285, 0.6853],[0.8647, 0.7371],[0.8041, 0.7785]
[0.588, 0.9382],[0.5041, 0.819],[0.4915, 0.6649],[0.5887, 0.5983],[0.6923, 0.622],[0.657, 0.4859],[0.7547, 0.3007],[0.8285, 0.1987],[0.8936, 0.11],[0.7508, 0.5569],[0.8403, 0.5025],[0.7668, 0.6186],[0.6924, 0.7042],[0.8202, 0.6379],[0.8785, 0.6099],[0.7959, 0.7055],[0.7262, 0.7667],[0.868, 0.7274],[0.929, 0.6973],[0.8643, 0.751],[0.8038, 0.788]
[0.5945, 0.9386],[0.5073, 0.8212],[0.492, 0.6689],[0.5895, 0.6004],[0.6958, 0.6218],[0.6553, 0.4903],[0.7547, 0.2998],[0.8288, 0.1952],[0.8958, 0.1061],[0.749, 0.5607],[0.8443, 0.5026],[0.7757, 0.6195],[0.7024, 0.7088],[0.8182, 0.6398],[0.8811, 0.6091],[0.8023, 0.706],[0.7316, 0.7691],[0.8658, 0.7268],[0.93, 0.696],[0.8693, 0.751],[0.8073, 0.7896]
[0.6002, 0.9393],[0.5085, 0.8246],[0.4931, 0.6729],[0.5943, 0.607],[0.6997, 0.6287],[0.6574, 0.4918],[0.7543, 0.3024],[0.8284, 0.1997],[0.8944, 0.1116],[0.7525, 0.5606],[0.8462, 0.5089],[0.7749, 0.6264],[0.6984, 0.7128],[0.8219, 0.6392],[0.881, 0.6166],[0.8022, 0.7127],[0.7322, 0.7734],[0.8694, 0.7261],[0.9291, 0.6992],[0.8688, 0.7557],[0.8086, 0.7939]
[0.5985, 0.9373],[0.5075, 0.8245],[0.4922, 0.673],[0.593, 0.6069],[0.6991, 0.6287],[0.6566, 0.4912],[0.7529, 0.3014],[0.8271, 0.198],[0.8928, 0.1089],[0.7519, 0.5605],[0.8447, 0.5092],[0.7742, 0.6286],[0.699, 0.715],[0.8216, 0.6395],[0.8815, 0.6159],[0.8018, 0.7134],[0.7316, 0.7735],[0.8691, 0.7267],[0.9304, 0.6991],[0.8686, 0.7563],[0.8075, 0.7936]
[0.5998, 0.9431],[0.5082, 0.8306],[0.4905, 0.6786],[0.5907, 0.6115],[0.6966, 0.632],[0.6516, 0.4913],[0.7468, 0.2989],[0.8205, 0.1943],[0.8859, 0.106],[0.7465, 0.5603],[0.8408, 0.5063],[0.7731, 0.6243],[0.6997, 0.711],[0.8168, 0.6392],[0.8772, 0.6132],[0.7995, 0.7085],[0.7303, 0.7683],[0.8658, 0.7264],[0.9268, 0.6967],[0.8662, 0.7516],[0.805, 0.788]
[0.6032, 0.9434],[0.509, 0.8302],[0.4822, 0.681],[0.5796, 0.6112],[0.6901, 0.6324],[0.6415, 0.4967],[0.7348, 0.3026],[0.8082, 0.1967],[0.873, 0.1089],[0.7376, 0.5609],[0.823, 0.5033],[0.7651, 0.6203],[0.7011, 0.711],[0.8099, 0.6358],[0.8624, 0.6054],[0.7953, 0.7012],[0.733, 0.7664],[0.8627, 0.7204],[0.9146, 0.6912],[0.8635, 0.7441],[0.8092, 0.7824]
[0.596, 0.953],[0.4961, 0.8405],[0.469, 0.6965],[0.5654, 0.6342],[0.671, 0.6483],[0.6294, 0.5098],[0.7213, 0.3184],[0.7922, 0.2113],[0.8536, 0.1206],[0.7273, 0.5728],[0.8095, 0.5174],[0.7498, 0.6295],[0.6847, 0.7164],[0.8011, 0.6473],[0.852, 0.624],[0.7823, 0.7158],[0.7198, 0.7789],[0.8551, 0.7323],[0.9075, 0.7018],[0.8513, 0.7551],[0.7941, 0.7949]
[0.5921, 0.966],[0.4875, 0.8685],[0.4474, 0.7278],[0.5375, 0.6636],[0.6408, 0.6697],[0.6085, 0.5245],[0.6936, 0.3297],[0.7615, 0.2221],[0.8208, 0.1318],[0.7116, 0.5818],[0.7892, 0.529],[0.7318, 0.6453],[0.6689, 0.7317],[0.789, 0.654],[0.8355, 0.6355],[0.7671, 0.7308],[0.7043, 0.7929],[0.8451, 0.7381],[0.8932, 0.7114],[0.8356, 0.7692],[0.7757, 0.8082]
[0.5881, 0.9779],[0.4781, 0.8875],[0.4206, 0.7488],[0.4952, 0.6804],[0.6005, 0.6877],[0.584, 0.5427],[0.6602, 0.3463],[0.7222, 0.2386],[0.7767, 0.1481],[0.69, 0.595],[0.7545, 0.5535],[0.6963, 0.6794],[0.635, 0.7674],[0.7713, 0.6605],[0.81, 0.6483],[0.7413, 0.7519],[0.6796, 0.817],[0.8322, 0.7372],[0.8702, 0.7146],[0.8108, 0.7838],[0.7544, 0.828]
[0.5662, 1.001],[0.456, 0.9134],[0.3921, 0.773],[0.4618, 0.7056],[0.5709, 0.715],[0.5511, 0.5625],[0.6165, 0.3705],[0.6703, 0.2625],[0.7179, 0.1696],[0.6616, 0.6025],[0.7152, 0.574],[0.6605, 0.7057],[0.6051, 0.7926],[0.748, 0.6614],[0.7808, 0.663],[0.7161, 0.7692],[0.658, 0.8324],[0.8136, 0.7346],[0.8491, 0.7259],[0.7908, 0.7959],[0.7368, 0.8365]
[0.5562, 1.0122],[0.4441, 0.9312],[0.3737, 0.7966],[0.4324, 0.7264],[0.5379, 0.7324],[0.5278, 0.5743],[0.5873, 0.3837],[0.6396, 0.2751],[0.6854, 0.1822],[0.6407, 0.6047],[0.6806, 0.5982],[0.6273, 0.7259],[0.5742, 0.8088],[0.7304, 0.6596],[0.7532, 0.6815],[0.6879, 0.7872],[0.6317, 0.8488],[0.7989, 0.73],[0.8265, 0.7406],[0.7656, 0.8148],[0.7131, 0.856]
[0.5567, 1.0176],[0.4386, 0.9402],[0.36, 0.8099],[0.4101, 0.7402],[0.5157, 0.7469],[0.5108, 0.5888],[0.5671, 0.3989],[0.6162, 0.2909],[0.6582, 0.1992],[0.6269, 0.6138],[0.6586, 0.6153],[0.6101, 0.7453],[0.5603, 0.8323],[0.72, 0.6634],[0.7342, 0.6905],[0.6741, 0.7994],[0.6215, 0.8658],[0.792, 0.7281],[0.8134, 0.7466],[0.7566, 0.826],[0.7078, 0.871]
[0.5512, 1.0265],[0.4336, 0.9572],[0.3464, 0.829],[0.3883, 0.7582],[0.4923, 0.7633],[0.4958, 0.6008],[0.5472, 0.4154],[0.5921, 0.3089],[0.631, 0.2176],[0.6128, 0.6233],[0.6403, 0.6264],[0.5939, 0.7622],[0.5491, 0.849],[0.7072, 0.6735],[0.7229, 0.6972],[0.6655, 0.8112],[0.6172, 0.8771],[0.7823, 0.74],[0.8051, 0.752],[0.7484, 0.8362],[0.7015, 0.8823]
[0.5318, 1.039],[0.418, 0.9707],[0.3297, 0.8425],[0.3691, 0.7761],[0.4753, 0.784],[0.4798, 0.6151],[0.5246, 0.4294],[0.5669, 0.3245],[0.6029, 0.2353],[0.6001, 0.6356],[0.6123, 0.636],[0.5618, 0.7722],[0.5168, 0.8559],[0.6971, 0.6859],[0.6987, 0.7074],[0.6413, 0.8211],[0.5956, 0.8836],[0.774, 0.7545],[0.7801, 0.7715],[0.7215, 0.8535],[0.6782, 0.8954]
[0.5266, 1.0541],[0.4104, 0.9839],[0.319, 0.8625],[0.3465, 0.7947],[0.4544, 0.8052],[0.4671, 0.6206],[0.5053, 0.4438],[0.5416, 0.3429],[0.5737, 0.2578],[0.5898, 0.6339],[0.5952, 0.6527],[0.5444, 0.7875],[0.4981, 0.8755],[0.6885, 0.6834],[0.6771, 0.7229],[0.6235, 0.8347],[0.5801, 0.9028],[0.7665, 0.7525],[0.7598, 0.7824],[0.7072, 0.8627],[0.6693, 0.9096]
[0.5211, 1.0619],[0.4035, 0.9966],[0.3088, 0.8849],[0.3292, 0.8135],[0.4362, 0.816],[0.4519, 0.6372],[0.4815, 0.4572],[0.5145, 0.3574],[0.5451, 0.274],[0.5746, 0.6492],[0.586, 0.6592],[0.5403, 0.7926],[0.4957, 0.8839],[0.6735, 0.6971],[0.6684, 0.7321],[0.6173, 0.8445],[0.5746, 0.9157],[0.7522, 0.7652],[0.749, 0.7952],[0.6984, 0.8764],[0.6604, 0.926]
[0.5171, 1.0805],[0.3994, 1.0146],[0.3005, 0.9043],[0.3117, 0.8324],[0.4192, 0.8371],[0.4371, 0.6461],[0.4609, 0.4777],[0.4868, 0.3787],[0.5127, 0.2941],[0.5633, 0.649],[0.566, 0.6817],[0.5171, 0.8123],[0.4752, 0.894],[0.6658, 0.6956],[0.6449, 0.7616],[0.5943, 0.8653],[0.5593, 0.921],[0.7475, 0.7649],[0.7271, 0.8227],[0.6785, 0.8982],[0.6503, 0.9357]
[0.5105, 1.0926],[0.3893, 1.0273],[0.291, 0.9185],[0.3007, 0.8477],[0.4048, 0.8541],[0.4221, 0.6615],[0.4409, 0.4916],[0.4651, 0.3913],[0.4909, 0.3079],[0.5477, 0.6648],[0.5517, 0.6781],[0.5101, 0.8098],[0.4729, 0.9008],[0.6513, 0.7108],[0.6325, 0.7591],[0.5877, 0.8673],[0.5545, 0.9334],[0.7328, 0.7813],[0.7111, 0.828],[0.6659, 0.9027],[0.6384, 0.944]
[0.5065, 1.085],[0.3876, 1.0223],[0.2883, 0.9266],[0.2785, 0.863],[0.3751, 0.8686],[0.4126, 0.668],[0.4264, 0.503],[0.4465, 0.4048],[0.4704, 0.3213],[0.5375, 0.6712],[0.5471, 0.6728],[0.5081, 0.8007],[0.4684, 0.8944],[0.6408, 0.7154],[0.6284, 0.7489],[0.5864, 0.8529],[0.5508, 0.9223],[0.7225, 0.7824],[0.7082, 0.8073],[0.6677, 0.8773],[0.6395, 0.9226]
[0.4952, 1.0996],[0.3712, 1.036],[0.2723, 0.9332],[0.2781, 0.8677],[0.3814, 0.8739],[0.405, 0.6798],[0.4107, 0.523],[0.4253, 0.4242],[0.4428, 0.34],[0.5341, 0.6719],[0.5208, 0.7047],[0.4811, 0.8318],[0.4475, 0.9247],[0.6391, 0.7145],[0.6025, 0.7807],[0.5605, 0.8808],[0.5311, 0.9482],[0.7217, 0.7837],[0.6857, 0.8382],[0.6408, 0.9071],[0.6146, 0.9519]
[0.4839, 1.0985],[0.365, 1.0414],[0.2645, 0.9443],[0.2615, 0.8771],[0.365, 0.8839],[0.3894, 0.6804],[0.3922, 0.5294],[0.4033, 0.4317],[0.4194, 0.348],[0.5238, 0.6657],[0.4982, 0.7183],[0.4602, 0.844],[0.4337, 0.9287],[0.6329, 0.709],[0.582, 0.7988],[0.5392, 0.8961],[0.5163, 0.9519],[0.7172, 0.781],[0.667, 0.8574],[0.6202, 0.9259],[0.5989, 0.9622]
[0.4744, 1.1006],[0.3617, 1.0475],[0.2639, 0.9552],[0.2491, 0.8902],[0.3476, 0.8922],[0.3834, 0.6871],[0.3787, 0.5415],[0.3834, 0.4434],[0.3958, 0.3585],[0.5174, 0.6675],[0.4799, 0.7256],[0.4413, 0.8544],[0.4186, 0.9368],[0.6266, 0.7099],[0.5652, 0.8089],[0.523, 0.9076],[0.5057, 0.9596],[0.7108, 0.7834],[0.6491, 0.868],[0.6024, 0.9395],[0.587, 0.9747]
[0.4656, 1.1041],[0.3517, 1.0502],[0.2525, 0.9586],[0.2456, 0.8975],[0.3456, 0.9058],[0.3708, 0.6862],[0.3609, 0.5464],[0.3592, 0.4519],[0.367, 0.3698],[0.5065, 0.6652],[0.462, 0.7291],[0.4221, 0.8548],[0.4011, 0.9335],[0.6172, 0.7093],[0.5514, 0.8128],[0.5068, 0.9119],[0.4902, 0.9639],[0.703, 0.7855],[0.6365, 0.8749],[0.5902, 0.9457],[0.578, 0.9806]
[0.4689, 1.1083],[0.3555, 1.058],[0.2515, 0.9677],[0.2364, 0.906],[0.3331, 0.9118],[0.3637, 0.6963],[0.3428, 0.5585],[0.3316, 0.4652],[0.3307, 0.3846],[0.498, 0.6721],[0.4443, 0.7355],[0.4064, 0.8652],[0.3895, 0.9458],[0.6087, 0.7138],[0.5348, 0.8192],[0.4933, 0.9209],[0.4807, 0.9735],[0.6947, 0.7879],[0.6232, 0.878],[0.5804, 0.9495],[0.572, 0.9838]
