[0.5928, 0.9354],[0.4358, 0.9243],[0.3301, 0.7727],[0.3812, 0.6029],[0.5112, 0.5383],[0.3651, 0.563],[0.3403, 0.3455],[0.3401, 0.208],[0.3467, 0.0911],[0.4823, 0.5333],[0.4426, 0.2941],[0.4286, 0.1369],[0.4229, -0.0079],[0.5959, 0.5497],[0.6045, 0.3812],[0.5935, 0.4985],[0.5825, 0.5999],[0.7098, 0.5983],[0.6991, 0.4924],[0.6785, 0.58],[0.6604, 0.6681]
[0.5832, 1.0024],[0.3977, 0.924],[0.2985, 0.7695],[0.3649, 0.6036],[0.4842, 0.5373],[0.3461, 0.5577],[0.3175, 0.3448],[0.3168, 0.2114],[0.3228, 0.0898],[0.4615, 0.5342],[0.418, 0.2782],[0.4017, 0.1056],[0.3954, -0.0515],[0.5736, 0.56],[0.5755, 0.387],[0.5631, 0.5177],[0.553, 0.6434],[0.6875, 0.6183],[0.6786, 0.4983],[0.6553, 0.5853],[0.6379, 0.6856]
[0.5798, 1.0084],[0.3949, 0.9246],[0.2976, 0.7698],[0.3658, 0.6073],[0.4867, 0.5399],[0.3432, 0.5572],[0.314, 0.3468],[0.3089, 0.2184],[0.3108, 0.102],[0.4577, 0.5331],[0.4156, 0.2961],[0.3973, 0.1456],[0.3876, 0.0107],[0.5692, 0.5584],[0.5766, 0.3914],[0.5648, 0.5187],[0.5516, 0.642],[0.6818, 0.6191],[0.6792, 0.5016],[0.6559, 0.5856],[0.636, 0.6847]
[0.5759, 1.0065],[0.3914, 0.9263],[0.2912, 0.7636],[0.3569, 0.6044],[0.4713, 0.5393],[0.3426, 0.563],[0.3125, 0.3506],[0.3102, 0.2205],[0.3151, 0.1025],[0.4559, 0.5374],[0.4138, 0.2941],[0.3964, 0.134],[0.3879, -0.0091],[0.5671, 0.5609],[0.5743, 0.3869],[0.5617, 0.5122],[0.5475, 0.6372],[0.6806, 0.6191],[0.6761, 0.504],[0.6526, 0.5853],[0.632, 0.6832]
[0.5745, 0.999],[0.3893, 0.9217],[0.2904, 0.7646],[0.358, 0.608],[0.47, 0.5433],[0.34, 0.5571],[0.3129, 0.3465],[0.3109, 0.2171],[0.3158, 0.0994],[0.4529, 0.5327],[0.4105, 0.2905],[0.3932, 0.1317],[0.3852, -0.0107],[0.5644, 0.5567],[0.5704, 0.3878],[0.558, 0.5154],[0.545, 0.6406],[0.6778, 0.6151],[0.6727, 0.5021],[0.6467, 0.5846],[0.6242, 0.6828]
[0.5757, 1.0011],[0.3909, 0.9229],[0.2928, 0.7664],[0.3636, 0.6054],[0.4812, 0.5397],[0.3408, 0.5588],[0.3109, 0.3486],[0.3081, 0.219],[0.3131, 0.1011],[0.4544, 0.5325],[0.4102, 0.2916],[0.3908, 0.134],[0.3818, -0.008],[0.5655, 0.5558],[0.5689, 0.3879],[0.5571, 0.5175],[0.5476, 0.6435],[0.678, 0.6143],[0.6692, 0.4992],[0.6459, 0.5828],[0.6292, 0.6819]
[0.5694, 0.9928],[0.3841, 0.9114],[0.287, 0.757],[0.361, 0.6006],[0.4789, 0.5408],[0.3379, 0.5549],[0.3111, 0.3454],[0.3094, 0.2146],[0.3145, 0.0948],[0.4524, 0.5305],[0.41, 0.2803],[0.392, 0.1109],[0.3834, -0.0432],[0.564, 0.5554],[0.5672, 0.3859],[0.5563, 0.5133],[0.5475, 0.6386],[0.6771, 0.6144],[0.6672, 0.501],[0.6462, 0.5859],[0.6325, 0.6848]
[0.5764, 0.9934],[0.3917, 0.9181],[0.2905, 0.7625],[0.359, 0.5992],[0.4797, 0.5434],[0.3405, 0.557],[0.313, 0.3469],[0.3102, 0.216],[0.3132, 0.0971],[0.4542, 0.5308],[0.4104, 0.2807],[0.3913, 0.1142],[0.3819, -0.0358],[0.5654, 0.554],[0.5661, 0.3915],[0.554, 0.5208],[0.5463, 0.6447],[0.6777, 0.6108],[0.6651, 0.4946],[0.6418, 0.5799],[0.6283, 0.6789]
[0.577, 0.9952],[0.3904, 0.9209],[0.2888, 0.763],[0.3589, 0.6046],[0.4819, 0.5483],[0.3387, 0.555],[0.3116, 0.3459],[0.3098, 0.2152],[0.3143, 0.0964],[0.4529, 0.5289],[0.4101, 0.2776],[0.3916, 0.1101],[0.3826, -0.0412],[0.5646, 0.5533],[0.569, 0.3905],[0.5544, 0.5212],[0.5426, 0.6451],[0.6768, 0.6123],[0.6674, 0.4971],[0.6432, 0.5837],[0.626, 0.6826]
[0.5787, 1.0068],[0.3916, 0.9309],[0.2896, 0.7708],[0.3573, 0.6094],[0.478, 0.5508],[0.3384, 0.5583],[0.3096, 0.3494],[0.3067, 0.2194],[0.3102, 0.1004],[0.4521, 0.5318],[0.4086, 0.2873],[0.3899, 0.1254],[0.381, -0.022],[0.5637, 0.5562],[0.5675, 0.3905],[0.5549, 0.5221],[0.5448, 0.6463],[0.6776, 0.6153],[0.6688, 0.497],[0.6438, 0.5836],[0.6264, 0.6833]
[0.5794, 1.0071],[0.3908, 0.9299],[0.2846, 0.7682],[0.3556, 0.6073],[0.4811, 0.5522],[0.3388, 0.558],[0.3093, 0.3477],[0.3071, 0.2177],[0.3116, 0.0987],[0.4535, 0.5303],[0.4101, 0.2877],[0.3911, 0.127],[0.3807, -0.018],[0.565, 0.5548],[0.5683, 0.3867],[0.5569, 0.5199],[0.5467, 0.6489],[0.6785, 0.6156],[0.6684, 0.5002],[0.645, 0.5859],[0.6279, 0.6868]
[0.5809, 1.013],[0.3886, 0.9339],[0.2868, 0.7671],[0.3539, 0.6022],[0.4713, 0.5487],[0.3413, 0.5599],[0.311, 0.3509],[0.3067, 0.2231],[0.3096, 0.1067],[0.4543, 0.5336],[0.4118, 0.304],[0.3923, 0.1552],[0.3825, 0.022],[0.5641, 0.5571],[0.5675, 0.3871],[0.5576, 0.5168],[0.55, 0.643],[0.6765, 0.6156],[0.6674, 0.503],[0.6447, 0.5859],[0.6306, 0.6831]
[0.5729, 1.0082],[0.3827, 0.9258],[0.2835, 0.763],[0.353, 0.6032],[0.4678, 0.5464],[0.3413, 0.5617],[0.3124, 0.3533],[0.3087, 0.225],[0.3116, 0.1088],[0.4536, 0.5355],[0.4139, 0.3041],[0.3947, 0.152],[0.3851, 0.0159],[0.5624, 0.5587],[0.5692, 0.389],[0.5614, 0.5187],[0.5565, 0.6454],[0.6737, 0.6169],[0.6674, 0.5054],[0.6453, 0.5872],[0.6309, 0.6835]
[0.5668, 1.0012],[0.3811, 0.9223],[0.2804, 0.7631],[0.3491, 0.6073],[0.4633, 0.5496],[0.3379, 0.5572],[0.3139, 0.3478],[0.3145, 0.2134],[0.3214, 0.093],[0.4531, 0.5301],[0.413, 0.2708],[0.3962, 0.0885],[0.3924, -0.0771],[0.5652, 0.5556],[0.5682, 0.387],[0.5603, 0.519],[0.5572, 0.6437],[0.6788, 0.6159],[0.6649, 0.503],[0.6433, 0.5867],[0.6298, 0.6815]
[0.5734, 1.0117],[0.3895, 0.9244],[0.2932, 0.7712],[0.3543, 0.6027],[0.4681, 0.5401],[0.3428, 0.5595],[0.3129, 0.3556],[0.3051, 0.2283],[0.3048, 0.1117],[0.4538, 0.534],[0.4087, 0.3024],[0.3875, 0.154],[0.3781, 0.0214],[0.5633, 0.5564],[0.5686, 0.395],[0.5562, 0.5218],[0.5471, 0.6441],[0.6755, 0.6126],[0.6676, 0.4961],[0.6426, 0.5796],[0.6268, 0.6776]
[0.5642, 1.0029],[0.3778, 0.9146],[0.2819, 0.7587],[0.351, 0.6007],[0.4585, 0.5443],[0.3417, 0.5593],[0.3133, 0.351],[0.3101, 0.2211],[0.3135, 0.1022],[0.4543, 0.5366],[0.4135, 0.2948],[0.3941, 0.1316],[0.3851, -0.0163],[0.5644, 0.5605],[0.5703, 0.3879],[0.559, 0.5159],[0.5521, 0.6418],[0.6774, 0.6175],[0.6694, 0.5025],[0.6448, 0.586],[0.6301, 0.6825]
[0.5703, 0.9964],[0.3827, 0.9136],[0.2858, 0.7603],[0.3514, 0.6035],[0.4591, 0.5452],[0.3398, 0.5572],[0.3117, 0.3508],[0.3076, 0.2228],[0.3108, 0.1053],[0.4521, 0.5343],[0.4117, 0.3031],[0.3924, 0.1498],[0.3838, 0.0114],[0.5614, 0.5575],[0.569, 0.3854],[0.558, 0.5108],[0.5499, 0.635],[0.674, 0.6145],[0.6675, 0.5041],[0.6441, 0.5875],[0.6301, 0.6836]
[0.5664, 0.9979],[0.3789, 0.9128],[0.2817, 0.7559],[0.3536, 0.6052],[0.4605, 0.5498],[0.3354, 0.5587],[0.3104, 0.3513],[0.3095, 0.2188],[0.3157, 0.0996],[0.4501, 0.5347],[0.4117, 0.2857],[0.3942, 0.1117],[0.3882, -0.0453],[0.5622, 0.5593],[0.5688, 0.3844],[0.5594, 0.5105],[0.5539, 0.6345],[0.6755, 0.6176],[0.6675, 0.5029],[0.6452, 0.5874],[0.6313, 0.6838]
[0.5723, 0.9954],[0.3897, 0.9163],[0.2928, 0.7643],[0.3585, 0.6096],[0.4691, 0.5439],[0.3425, 0.5522],[0.318, 0.3454],[0.317, 0.2144],[0.3227, 0.096],[0.4554, 0.5278],[0.4166, 0.2779],[0.3999, 0.1046],[0.395, -0.0517],[0.5661, 0.5531],[0.571, 0.3874],[0.5583, 0.5118],[0.5506, 0.6332],[0.6786, 0.6131],[0.6685, 0.5018],[0.6461, 0.5862],[0.6326, 0.6825]
[0.5892, 1.0094],[0.4014, 0.9328],[0.299, 0.7708],[0.3591, 0.6065],[0.4697, 0.5458],[0.3501, 0.5578],[0.3241, 0.3486],[0.3211, 0.218],[0.3242, 0.0991],[0.4623, 0.5312],[0.4193, 0.2817],[0.4011, 0.1106],[0.3955, -0.0434],[0.5736, 0.5547],[0.576, 0.393],[0.5627, 0.5209],[0.5546, 0.6426],[0.6874, 0.6126],[0.6747, 0.4985],[0.6523, 0.5851],[0.6401, 0.682]
[0.5835, 1.01],[0.3978, 0.928],[0.2965, 0.7676],[0.3641, 0.6082],[0.4817, 0.5457],[0.3517, 0.5582],[0.3247, 0.3503],[0.3212, 0.221],[0.3245, 0.102],[0.4645, 0.5332],[0.4207, 0.29],[0.4025, 0.1288],[0.3949, -0.0174],[0.5749, 0.5584],[0.5805, 0.3924],[0.5679, 0.5194],[0.5572, 0.6443],[0.6885, 0.6187],[0.6812, 0.5002],[0.6599, 0.5838],[0.6461, 0.6834]
[0.5791, 1.0041],[0.3942, 0.9214],[0.2949, 0.7653],[0.3615, 0.6068],[0.4713, 0.5439],[0.3482, 0.5572],[0.3197, 0.3511],[0.3155, 0.2237],[0.3192, 0.1065],[0.4614, 0.5341],[0.4172, 0.3044],[0.3969, 0.159],[0.3867, 0.0265],[0.5722, 0.5585],[0.5816, 0.3866],[0.5694, 0.514],[0.557, 0.6384],[0.6848, 0.6182],[0.6809, 0.5018],[0.6568, 0.5863],[0.6385, 0.6847]
[0.5751, 0.9979],[0.3907, 0.9161],[0.2915, 0.7558],[0.3589, 0.601],[0.467, 0.5471],[0.3451, 0.5623],[0.3183, 0.3516],[0.3157, 0.2194],[0.3204, 0.1006],[0.4584, 0.539],[0.4165, 0.2934],[0.3995, 0.1287],[0.3933, -0.0199],[0.5703, 0.5623],[0.5769, 0.3841],[0.5675, 0.5101],[0.5605, 0.6354],[0.6837, 0.619],[0.6768, 0.5034],[0.6541, 0.5866],[0.6401, 0.6829]
[0.5802, 1.0017],[0.3987, 0.9331],[0.2975, 0.7674],[0.3659, 0.6102],[0.4789, 0.5478],[0.3447, 0.5585],[0.3163, 0.3483],[0.3141, 0.2151],[0.3185, 0.0965],[0.4593, 0.5326],[0.4178, 0.278],[0.3994, 0.1085],[0.3926, -0.0461],[0.5718, 0.5574],[0.5758, 0.3862],[0.5619, 0.523],[0.5513, 0.6475],[0.686, 0.6187],[0.6737, 0.5013],[0.6535, 0.5923],[0.6405, 0.6896]
[0.5831, 1.0061],[0.4012, 0.9311],[0.2975, 0.7712],[0.365, 0.6086],[0.4793, 0.5466],[0.3423, 0.56],[0.3127, 0.3503],[0.3087, 0.2191],[0.3116, 0.1003],[0.4566, 0.533],[0.4122, 0.2881],[0.3934, 0.1271],[0.3846, -0.0193],[0.5686, 0.5564],[0.5763, 0.3924],[0.5655, 0.5264],[0.555, 0.6502],[0.682, 0.6155],[0.6771, 0.4988],[0.657, 0.5891],[0.6423, 0.6879]
[0.581, 1.006],[0.3976, 0.9292],[0.2943, 0.7634],[0.3646, 0.6043],[0.4842, 0.5491],[0.3457, 0.5613],[0.3167, 0.3509],[0.3135, 0.2204],[0.317, 0.103],[0.4595, 0.535],[0.4162, 0.2898],[0.3968, 0.1299],[0.387, -0.0142],[0.5709, 0.5581],[0.577, 0.3878],[0.564, 0.5204],[0.5518, 0.6466],[0.6842, 0.6174],[0.6774, 0.502],[0.6575, 0.5902],[0.6436, 0.6891]
[0.582, 0.9998],[0.3996, 0.9292],[0.2965, 0.7661],[0.3646, 0.6071],[0.4823, 0.5454],[0.3474, 0.5581],[0.3188, 0.3464],[0.3159, 0.2155],[0.3201, 0.0982],[0.4605, 0.5314],[0.4164, 0.2801],[0.3981, 0.1158],[0.3904, -0.0331],[0.5715, 0.5546],[0.5755, 0.3851],[0.5641, 0.5217],[0.5539, 0.6496],[0.6841, 0.6143],[0.6752, 0.502],[0.6556, 0.5916],[0.6413, 0.6906]
[0.5812, 1.0008],[0.3997, 0.9283],[0.2986, 0.769],[0.3673, 0.6065],[0.4808, 0.54],[0.3444, 0.56],[0.3142, 0.3493],[0.3103, 0.2183],[0.314, 0.0998],[0.4591, 0.5332],[0.4128, 0.2894],[0.3931, 0.1316],[0.3847, -0.0105],[0.571, 0.5558],[0.5752, 0.3918],[0.5654, 0.5254],[0.5568, 0.6503],[0.6835, 0.6132],[0.6771, 0.4988],[0.6574, 0.5871],[0.6438, 0.6856]
[0.5703, 1.0014],[0.3906, 0.9194],[0.2914, 0.7593],[0.3601, 0.603],[0.4802, 0.5464],[0.3406, 0.5605],[0.3119, 0.3489],[0.3089, 0.2194],[0.3131, 0.1031],[0.4549, 0.5357],[0.4116, 0.2936],[0.3928, 0.1406],[0.3827, 0.0039],[0.567, 0.5594],[0.5728, 0.3883],[0.5627, 0.5208],[0.551, 0.6467],[0.68, 0.6195],[0.6752, 0.5035],[0.6541, 0.5904],[0.6372, 0.6891]
[0.5705, 0.9919],[0.392, 0.916],[0.2912, 0.7617],[0.3538, 0.6042],[0.471, 0.5442],[0.342, 0.56],[0.3132, 0.3503],[0.3084, 0.2227],[0.3111, 0.1075],[0.4551, 0.5362],[0.4114, 0.2989],[0.3919, 0.1512],[0.3811, 0.019],[0.5657, 0.5583],[0.5709, 0.3892],[0.56, 0.5223],[0.5484, 0.6486],[0.6777, 0.6156],[0.6705, 0.5042],[0.6507, 0.593],[0.6362, 0.692]
[0.5777, 0.9895],[0.3961, 0.9197],[0.2892, 0.7584],[0.3513, 0.601],[0.4692, 0.5457],[0.3382, 0.5639],[0.3096, 0.3504],[0.3063, 0.2164],[0.3106, 0.0972],[0.4518, 0.5371],[0.4094, 0.2807],[0.3908, 0.1053],[0.3837, -0.0536],[0.5637, 0.5587],[0.5681, 0.3842],[0.5587, 0.5171],[0.5511, 0.6433],[0.6773, 0.6144],[0.6661, 0.5005],[0.6487, 0.5893],[0.6379, 0.6877]
[0.5784, 0.9961],[0.3973, 0.9225],[0.2947, 0.7697],[0.3586, 0.6094],[0.4752, 0.5521],[0.3402, 0.5618],[0.3115, 0.3516],[0.3093, 0.2217],[0.3131, 0.1043],[0.4533, 0.5347],[0.4076, 0.2879],[0.3897, 0.1276],[0.3815, -0.016],[0.5639, 0.5559],[0.5641, 0.3863],[0.5576, 0.5152],[0.5537, 0.6404],[0.677, 0.6119],[0.6664, 0.4955],[0.648, 0.581],[0.6375, 0.6794]
[0.5815, 0.9987],[0.3988, 0.927],[0.2939, 0.7747],[0.3571, 0.6138],[0.4744, 0.5481],[0.3415, 0.5602],[0.3134, 0.3499],[0.3108, 0.2195],[0.3149, 0.1016],[0.4552, 0.5331],[0.4117, 0.291],[0.3948, 0.1326],[0.3874, -0.0101],[0.5662, 0.5557],[0.5711, 0.387],[0.5618, 0.5162],[0.5527, 0.6407],[0.6794, 0.6138],[0.6703, 0.5],[0.6504, 0.5852],[0.6357, 0.6832]
[0.5795, 0.9977],[0.3955, 0.9248],[0.2897, 0.7716],[0.3534, 0.6089],[0.4723, 0.5471],[0.3408, 0.5605],[0.3136, 0.3511],[0.3103, 0.2201],[0.314, 0.1012],[0.4548, 0.5332],[0.4126, 0.2899],[0.3957, 0.1269],[0.3877, -0.0201],[0.5658, 0.5553],[0.5705, 0.3864],[0.5616, 0.5151],[0.5534, 0.6405],[0.679, 0.6126],[0.6703, 0.5009],[0.6505, 0.5875],[0.6365, 0.6868]
[0.5762, 1.0012],[0.3925, 0.9256],[0.2891, 0.7679],[0.3579, 0.6063],[0.4779, 0.5499],[0.3386, 0.5616],[0.3111, 0.3531],[0.3078, 0.223],[0.3112, 0.1041],[0.4529, 0.5353],[0.4103, 0.2954],[0.393, 0.1351],[0.3851, -0.0105],[0.5641, 0.558],[0.5689, 0.3869],[0.5593, 0.5151],[0.5508, 0.6396],[0.6772, 0.6152],[0.6674, 0.5006],[0.6483, 0.5865],[0.636, 0.6851]
[0.5797, 1.001],[0.3954, 0.9301],[0.2897, 0.7671],[0.3567, 0.6082],[0.4796, 0.5497],[0.3396, 0.5593],[0.3106, 0.3512],[0.3079, 0.2208],[0.3122, 0.103],[0.453, 0.5316],[0.4104, 0.2892],[0.3928, 0.1267],[0.3842, -0.021],[0.564, 0.5544],[0.5707, 0.3867],[0.5599, 0.5191],[0.5498, 0.6445],[0.6767, 0.6129],[0.6668, 0.5014],[0.6479, 0.5878],[0.6356, 0.6851]
[0.5805, 1.0],[0.3949, 0.9301],[0.29, 0.7679],[0.3559, 0.6077],[0.4773, 0.5484],[0.3385, 0.5602],[0.3103, 0.3515],[0.3072, 0.2223],[0.3108, 0.1056],[0.4516, 0.5322],[0.4068, 0.2911],[0.3881, 0.1311],[0.3782, -0.013],[0.5632, 0.5541],[0.5707, 0.3895],[0.5605, 0.519],[0.5487, 0.6433],[0.6772, 0.6116],[0.6705, 0.5017],[0.6502, 0.5884],[0.6342, 0.6872]
[0.5766, 0.9977],[0.3896, 0.9236],[0.288, 0.7629],[0.3528, 0.6037],[0.4691, 0.5432],[0.3385, 0.5606],[0.3112, 0.3495],[0.3085, 0.2181],[0.3117, 0.0983],[0.4514, 0.5338],[0.408, 0.2799],[0.3906, 0.1072],[0.3826, -0.0496],[0.563, 0.5567],[0.5674, 0.3904],[0.5572, 0.5204],[0.5478, 0.6457],[0.678, 0.6131],[0.6688, 0.4997],[0.6487, 0.585],[0.634, 0.6832]
[0.5785, 1.001],[0.3942, 0.9231],[0.2949, 0.7679],[0.3622, 0.609],[0.4795, 0.5478],[0.3367, 0.5573],[0.3093, 0.3492],[0.3062, 0.2196],[0.3093, 0.1016],[0.4507, 0.5305],[0.4063, 0.2877],[0.3886, 0.126],[0.38, -0.02],[0.5625, 0.5543],[0.5674, 0.3929],[0.5582, 0.5248],[0.5487, 0.6495],[0.6759, 0.6127],[0.6702, 0.4976],[0.647, 0.5834],[0.6291, 0.6817]
[0.5776, 0.9953],[0.3917, 0.9207],[0.2911, 0.765],[0.357, 0.6066],[0.4782, 0.5488],[0.3385, 0.557],[0.3115, 0.3496],[0.3081, 0.2204],[0.3108, 0.1028],[0.4525, 0.5302],[0.4077, 0.2852],[0.3885, 0.1233],[0.3773, -0.0232],[0.5643, 0.5535],[0.5698, 0.3931],[0.5604, 0.5221],[0.5497, 0.6453],[0.6775, 0.6118],[0.6724, 0.5],[0.651, 0.5868],[0.6337, 0.6855]
[0.5785, 1.0009],[0.3934, 0.9266],[0.2935, 0.7655],[0.3608, 0.606],[0.4774, 0.5444],[0.3379, 0.5624],[0.3107, 0.3511],[0.3081, 0.2197],[0.3112, 0.1008],[0.4518, 0.5342],[0.4087, 0.2845],[0.3913, 0.1167],[0.3829, -0.0347],[0.5631, 0.5564],[0.5691, 0.3926],[0.5608, 0.5223],[0.5522, 0.6464],[0.6763, 0.6124],[0.6715, 0.4984],[0.6489, 0.5838],[0.6303, 0.6829]
[0.582, 1.0037],[0.396, 0.9296],[0.2932, 0.7684],[0.3564, 0.6067],[0.473, 0.5479],[0.3395, 0.5597],[0.3092, 0.3498],[0.3046, 0.2207],[0.3063, 0.1033],[0.4536, 0.5326],[0.4066, 0.2934],[0.3871, 0.1379],[0.3758, -0.0027],[0.5653, 0.5552],[0.5692, 0.3947],[0.5621, 0.5276],[0.5529, 0.6519],[0.6791, 0.6129],[0.673, 0.4995],[0.6515, 0.5873],[0.6343, 0.6867]
