[0.4243, 0.893],[0.5837, 0.8992],[0.6927, 0.7592],[0.6589, 0.609],[0.5451, 0.5238],[0.6306, 0.5422],[0.6416, 0.3209],[0.6318, 0.1793],[0.6285, 0.0603],[0.5145, 0.5228],[0.5286, 0.2806],[0.5313, 0.1243],[0.5447, -0.0027],[0.4024, 0.5494],[0.4053, 0.4041],[0.4296, 0.539],[0.4516, 0.6529],[0.293, 0.6111],[0.3123, 0.5076],[0.3546, 0.6087],[0.3777, 0.7056]
[0.4252, 1.0332],[0.5994, 0.9256],[0.7028, 0.7435],[0.6458, 0.5882],[0.5151, 0.5278],[0.6214, 0.5148],[0.6358, 0.304],[0.6224, 0.1707],[0.611, 0.0566],[0.5026, 0.508],[0.5154, 0.2653],[0.5261, 0.1026],[0.537, -0.0249],[0.3891, 0.5507],[0.3916, 0.4059],[0.4227, 0.545],[0.4389, 0.6691],[0.2798, 0.6259],[0.2948, 0.5197],[0.3406, 0.6083],[0.3639, 0.7014]
[0.4244, 1.0296],[0.5984, 0.9231],[0.6994, 0.7428],[0.6456, 0.5902],[0.5187, 0.5242],[0.6229, 0.5225],[0.6359, 0.3087],[0.6215, 0.1746],[0.6078, 0.0588],[0.5047, 0.515],[0.5201, 0.2696],[0.5302, 0.1078],[0.5383, -0.0195],[0.3907, 0.5572],[0.3903, 0.4058],[0.4228, 0.5462],[0.4393, 0.6685],[0.2805, 0.6332],[0.2965, 0.5204],[0.3419, 0.6097],[0.3631, 0.7015]
[0.4274, 1.0283],[0.5997, 0.9239],[0.698, 0.7407],[0.6405, 0.5893],[0.5159, 0.5227],[0.6199, 0.5191],[0.6349, 0.3053],[0.623, 0.1721],[0.6106, 0.0566],[0.5016, 0.5109],[0.515, 0.2498],[0.5257, 0.074],[0.5339, -0.0678],[0.3871, 0.5547],[0.3852, 0.4003],[0.4199, 0.5431],[0.436, 0.6657],[0.2769, 0.635],[0.2923, 0.516],[0.3407, 0.6064],[0.3613, 0.6988]
[0.4245, 1.0363],[0.5947, 0.9328],[0.6957, 0.7494],[0.6475, 0.5928],[0.5256, 0.5217],[0.6199, 0.5208],[0.6348, 0.3047],[0.6205, 0.1711],[0.6066, 0.0538],[0.5023, 0.512],[0.5162, 0.2604],[0.5262, 0.0946],[0.5352, -0.0389],[0.3888, 0.5546],[0.3885, 0.4053],[0.4216, 0.5469],[0.4386, 0.6692],[0.2807, 0.6312],[0.2967, 0.5218],[0.3431, 0.612],[0.3652, 0.703]
[0.4255, 1.0367],[0.6001, 0.9286],[0.6987, 0.7453],[0.645, 0.5931],[0.5239, 0.5243],[0.6224, 0.518],[0.6353, 0.3044],[0.621, 0.1707],[0.6065, 0.0554],[0.5053, 0.5105],[0.5212, 0.2654],[0.5325, 0.1015],[0.5414, -0.0277],[0.3916, 0.5523],[0.3928, 0.4062],[0.425, 0.5474],[0.4416, 0.6685],[0.2825, 0.6269],[0.2996, 0.5185],[0.3453, 0.608],[0.3683, 0.6974]
[0.4284, 1.0358],[0.6007, 0.9267],[0.6985, 0.7438],[0.6412, 0.5913],[0.5187, 0.522],[0.6232, 0.5203],[0.6369, 0.3063],[0.6232, 0.1721],[0.6099, 0.0575],[0.5045, 0.5146],[0.5168, 0.2718],[0.5259, 0.1094],[0.5337, -0.0181],[0.3902, 0.5575],[0.3918, 0.4068],[0.4252, 0.5436],[0.4412, 0.6633],[0.2801, 0.6329],[0.2967, 0.5204],[0.3427, 0.6057],[0.3638, 0.6943]
[0.429, 1.0397],[0.6008, 0.929],[0.6964, 0.7434],[0.642, 0.59],[0.5221, 0.5198],[0.6221, 0.5239],[0.6354, 0.3085],[0.6227, 0.1743],[0.6099, 0.0598],[0.5049, 0.5187],[0.5167, 0.2752],[0.5279, 0.1142],[0.5357, -0.0113],[0.3904, 0.5612],[0.3916, 0.4083],[0.4288, 0.5448],[0.4451, 0.6663],[0.2793, 0.6356],[0.2974, 0.5194],[0.3464, 0.6057],[0.3672, 0.6972]
[0.4249, 1.0389],[0.6027, 0.9256],[0.6966, 0.7392],[0.6383, 0.5844],[0.5125, 0.5186],[0.6223, 0.5238],[0.6357, 0.3083],[0.6227, 0.1729],[0.6099, 0.0576],[0.5056, 0.5173],[0.5162, 0.2765],[0.5279, 0.1156],[0.5373, -0.0086],[0.3906, 0.5586],[0.3912, 0.4072],[0.4276, 0.5421],[0.4447, 0.6634],[0.2775, 0.6304],[0.2965, 0.519],[0.3459, 0.6047],[0.3685, 0.6951]
[0.4157, 1.0382],[0.5967, 0.9317],[0.6958, 0.7423],[0.6377, 0.5827],[0.5093, 0.5169],[0.6187, 0.5241],[0.6343, 0.308],[0.6222, 0.172],[0.6101, 0.0563],[0.5022, 0.5188],[0.5119, 0.275],[0.5236, 0.1109],[0.5324, -0.0166],[0.3874, 0.5606],[0.3897, 0.4065],[0.4289, 0.5458],[0.4461, 0.6677],[0.2736, 0.6321],[0.2964, 0.5174],[0.3467, 0.6079],[0.368, 0.6997]
[0.4168, 1.0365],[0.5977, 0.9296],[0.696, 0.7431],[0.6385, 0.584],[0.5104, 0.5189],[0.6182, 0.5235],[0.6338, 0.3064],[0.6222, 0.1697],[0.6109, 0.0525],[0.5015, 0.5166],[0.511, 0.2653],[0.522, 0.0944],[0.5306, -0.0403],[0.3868, 0.5583],[0.3842, 0.4036],[0.4227, 0.5436],[0.4406, 0.666],[0.2737, 0.6309],[0.2935, 0.5172],[0.3435, 0.6071],[0.3649, 0.6973]
[0.4171, 1.0331],[0.6013, 0.9197],[0.6989, 0.7366],[0.638, 0.5814],[0.5094, 0.5211],[0.6198, 0.5162],[0.6343, 0.3045],[0.6205, 0.1701],[0.608, 0.0556],[0.5028, 0.5096],[0.5131, 0.2674],[0.5233, 0.1031],[0.5336, -0.0264],[0.3885, 0.5518],[0.3858, 0.4045],[0.4213, 0.5437],[0.4405, 0.6656],[0.2767, 0.6253],[0.2932, 0.5178],[0.3415, 0.6075],[0.3665, 0.698]
[0.421, 1.0339],[0.5994, 0.9232],[0.6958, 0.7381],[0.6351, 0.5832],[0.5067, 0.5198],[0.6191, 0.5216],[0.6332, 0.3074],[0.6194, 0.1726],[0.6065, 0.0573],[0.5013, 0.514],[0.5123, 0.2641],[0.5222, 0.0954],[0.5312, -0.0376],[0.3864, 0.5558],[0.3815, 0.4021],[0.4189, 0.5436],[0.4388, 0.667],[0.2749, 0.631],[0.2915, 0.5178],[0.3415, 0.6078],[0.3661, 0.6983]
[0.4158, 1.0303],[0.5941, 0.9202],[0.6901, 0.7427],[0.6351, 0.5928],[0.5128, 0.5267],[0.6133, 0.5204],[0.6272, 0.3046],[0.6138, 0.1698],[0.6006, 0.0534],[0.4961, 0.5136],[0.5075, 0.2663],[0.5152, 0.1016],[0.5208, -0.0281],[0.3815, 0.5563],[0.3783, 0.3998],[0.4143, 0.5407],[0.4327, 0.6642],[0.2695, 0.6319],[0.2866, 0.5209],[0.3345, 0.6084],[0.3573, 0.6978]
[0.4148, 1.0317],[0.5957, 0.9219],[0.6932, 0.7405],[0.6298, 0.5835],[0.5011, 0.5187],[0.6144, 0.5253],[0.6262, 0.3093],[0.6134, 0.1755],[0.6022, 0.0586],[0.4964, 0.5174],[0.508, 0.2757],[0.5172, 0.1138],[0.526, -0.0139],[0.382, 0.558],[0.3756, 0.3982],[0.4067, 0.5358],[0.4251, 0.6599],[0.2713, 0.6301],[0.2832, 0.5224],[0.3279, 0.6094],[0.3526, 0.6999]
[0.4112, 1.0325],[0.5873, 0.929],[0.6899, 0.7442],[0.6282, 0.5858],[0.499, 0.5182],[0.6118, 0.5255],[0.6257, 0.308],[0.6139, 0.1742],[0.6026, 0.0574],[0.4928, 0.517],[0.5047, 0.2693],[0.5156, 0.1063],[0.5244, -0.0226],[0.3778, 0.5575],[0.3719, 0.3955],[0.4049, 0.5359],[0.4228, 0.6602],[0.2675, 0.6312],[0.2823, 0.5222],[0.3259, 0.6106],[0.3468, 0.7009]
[0.4113, 1.0331],[0.5897, 0.924],[0.689, 0.7437],[0.6253, 0.5896],[0.5, 0.5197],[0.6116, 0.5252],[0.6246, 0.31],[0.6123, 0.1758],[0.6008, 0.0591],[0.4932, 0.5175],[0.508, 0.275],[0.5191, 0.1135],[0.5282, -0.0137],[0.3788, 0.5586],[0.3746, 0.4002],[0.4042, 0.5382],[0.4202, 0.6613],[0.2682, 0.6326],[0.2808, 0.5216],[0.324, 0.6086],[0.3459, 0.6993]
[0.4142, 1.0324],[0.598, 0.9202],[0.6929, 0.7372],[0.628, 0.5816],[0.4974, 0.519],[0.615, 0.5253],[0.6269, 0.3103],[0.6144, 0.1749],[0.6028, 0.0569],[0.4975, 0.5175],[0.5088, 0.2744],[0.5219, 0.1114],[0.5333, -0.0171],[0.3823, 0.5583],[0.3768, 0.3986],[0.4084, 0.5393],[0.4245, 0.6641],[0.2695, 0.6315],[0.2843, 0.5187],[0.3295, 0.6106],[0.3515, 0.7049]
[0.4182, 1.0384],[0.599, 0.929],[0.6962, 0.743],[0.6326, 0.5829],[0.5005, 0.5168],[0.6187, 0.5286],[0.6303, 0.3117],[0.617, 0.1757],[0.6043, 0.0571],[0.5003, 0.5201],[0.5113, 0.2779],[0.5243, 0.1165],[0.5353, -0.0114],[0.3855, 0.5603],[0.3795, 0.4028],[0.4122, 0.5409],[0.4285, 0.6635],[0.2729, 0.6324],[0.2866, 0.5204],[0.3326, 0.6097],[0.355, 0.7021]
[0.4144, 1.0342],[0.5975, 0.9236],[0.6953, 0.7386],[0.6288, 0.5799],[0.4971, 0.517],[0.6177, 0.524],[0.63, 0.3098],[0.6171, 0.1736],[0.6045, 0.0551],[0.5, 0.5163],[0.5119, 0.2727],[0.5249, 0.1096],[0.5352, -0.0194],[0.3853, 0.5579],[0.3807, 0.3993],[0.413, 0.5385],[0.4283, 0.6619],[0.2724, 0.6311],[0.2869, 0.5185],[0.3318, 0.6086],[0.3524, 0.7009]
[0.4162, 1.0369],[0.5984, 0.9264],[0.6941, 0.7425],[0.6318, 0.5832],[0.5034, 0.5143],[0.6179, 0.5262],[0.6309, 0.3125],[0.6178, 0.1764],[0.6057, 0.0581],[0.5001, 0.5178],[0.5129, 0.275],[0.5273, 0.1107],[0.54, -0.0189],[0.3852, 0.559],[0.381, 0.402],[0.4125, 0.5389],[0.428, 0.6615],[0.273, 0.6317],[0.2867, 0.5188],[0.3307, 0.6067],[0.3515, 0.6983]
[0.4184, 1.0337],[0.5951, 0.9232],[0.6927, 0.7417],[0.6301, 0.5826],[0.5019, 0.511],[0.6178, 0.5266],[0.6305, 0.3105],[0.6163, 0.174],[0.6037, 0.0556],[0.4998, 0.519],[0.5104, 0.2717],[0.5217, 0.1053],[0.532, -0.0263],[0.3852, 0.5602],[0.3816, 0.4035],[0.4124, 0.5395],[0.4267, 0.6599],[0.2723, 0.6329],[0.286, 0.5179],[0.3302, 0.6045],[0.3502, 0.695]
[0.4139, 1.0321],[0.592, 0.9241],[0.6905, 0.7451],[0.6285, 0.5882],[0.4992, 0.5162],[0.6138, 0.525],[0.6272, 0.3087],[0.6138, 0.173],[0.6016, 0.0553],[0.4945, 0.5167],[0.5067, 0.273],[0.5173, 0.1089],[0.5263, -0.0207],[0.3796, 0.5583],[0.3754, 0.4001],[0.4063, 0.5364],[0.4222, 0.6575],[0.2684, 0.6321],[0.283, 0.5184],[0.3256, 0.6051],[0.3457, 0.6959]
[0.4101, 1.0242],[0.5862, 0.9186],[0.6879, 0.7423],[0.625, 0.5881],[0.498, 0.5173],[0.6112, 0.5206],[0.625, 0.3069],[0.6112, 0.172],[0.5978, 0.0551],[0.4922, 0.5146],[0.5054, 0.2737],[0.5166, 0.1115],[0.5249, -0.017],[0.3787, 0.5572],[0.3738, 0.4045],[0.4041, 0.5394],[0.419, 0.6592],[0.268, 0.6319],[0.2801, 0.5189],[0.3209, 0.605],[0.3392, 0.6959]
[0.4075, 1.0259],[0.582, 0.9252],[0.6847, 0.7456],[0.6252, 0.5903],[0.4978, 0.5228],[0.6083, 0.5237],[0.621, 0.3096],[0.6071, 0.1747],[0.5938, 0.0571],[0.4899, 0.5156],[0.5051, 0.2731],[0.5158, 0.1094],[0.523, -0.0215],[0.376, 0.5566],[0.3708, 0.4039],[0.4023, 0.5453],[0.4184, 0.669],[0.2646, 0.631],[0.2771, 0.5164],[0.3196, 0.6058],[0.3402, 0.6991]
[0.4073, 1.0268],[0.5886, 0.9167],[0.6857, 0.7372],[0.6246, 0.5825],[0.4966, 0.5189],[0.6075, 0.5231],[0.62, 0.3108],[0.6067, 0.1768],[0.5938, 0.0595],[0.4904, 0.516],[0.5042, 0.2792],[0.5146, 0.1187],[0.5226, -0.0092],[0.3764, 0.5573],[0.37, 0.4043],[0.4019, 0.5444],[0.4192, 0.6678],[0.2641, 0.631],[0.2775, 0.5173],[0.32, 0.6079],[0.3421, 0.7021]
[0.4052, 1.0261],[0.584, 0.9286],[0.6856, 0.7405],[0.6238, 0.5818],[0.495, 0.5224],[0.6084, 0.5261],[0.6212, 0.3088],[0.6083, 0.1734],[0.5953, 0.0565],[0.4907, 0.5177],[0.5041, 0.2689],[0.5164, 0.1009],[0.5256, -0.0331],[0.377, 0.5579],[0.3706, 0.4016],[0.4033, 0.5426],[0.4191, 0.6659],[0.2666, 0.6309],[0.279, 0.5185],[0.3228, 0.6076],[0.342, 0.6987]
[0.4033, 1.0326],[0.584, 0.9327],[0.6845, 0.7417],[0.62, 0.5815],[0.4917, 0.5194],[0.6089, 0.5265],[0.6232, 0.3091],[0.6101, 0.1736],[0.5974, 0.056],[0.4908, 0.5171],[0.5043, 0.2655],[0.5152, 0.0945],[0.5237, -0.0422],[0.3769, 0.5577],[0.3684, 0.3999],[0.4032, 0.5423],[0.4219, 0.6674],[0.2667, 0.6312],[0.2802, 0.519],[0.3255, 0.6093],[0.3471, 0.7003]
[0.4064, 1.0307],[0.5898, 0.9249],[0.6875, 0.7402],[0.6209, 0.5843],[0.4948, 0.5196],[0.6113, 0.5249],[0.6248, 0.3076],[0.6111, 0.172],[0.5983, 0.0552],[0.4923, 0.5169],[0.5054, 0.2657],[0.5151, 0.0966],[0.5234, -0.0364],[0.3779, 0.5577],[0.3692, 0.4024],[0.4022, 0.5447],[0.4209, 0.6698],[0.2672, 0.6303],[0.28, 0.5191],[0.3241, 0.6107],[0.3462, 0.703]
[0.4047, 1.0328],[0.5882, 0.9256],[0.6832, 0.7428],[0.6186, 0.5863],[0.4941, 0.5223],[0.6105, 0.5293],[0.6239, 0.3112],[0.6096, 0.1756],[0.596, 0.0584],[0.492, 0.5207],[0.5046, 0.2738],[0.513, 0.1088],[0.5197, -0.0209],[0.3777, 0.5607],[0.3696, 0.4015],[0.404, 0.5411],[0.4239, 0.6649],[0.2665, 0.6324],[0.28, 0.5185],[0.3232, 0.609],[0.3455, 0.7014]
[0.4051, 1.0313],[0.5863, 0.9261],[0.6831, 0.7426],[0.6164, 0.5872],[0.4897, 0.5232],[0.6078, 0.5289],[0.6215, 0.3129],[0.6071, 0.1772],[0.593, 0.0599],[0.4883, 0.5204],[0.5001, 0.269],[0.5092, 0.1024],[0.5164, -0.0294],[0.3733, 0.5608],[0.3657, 0.4031],[0.4004, 0.5441],[0.419, 0.6679],[0.2619, 0.6346],[0.2765, 0.5199],[0.321, 0.6122],[0.3416, 0.706]
[0.4022, 1.0376],[0.5833, 0.9313],[0.6838, 0.7462],[0.6195, 0.5887],[0.4886, 0.5329],[0.6063, 0.5321],[0.6189, 0.3137],[0.6045, 0.1769],[0.5917, 0.0578],[0.4881, 0.5221],[0.5002, 0.2758],[0.5101, 0.1079],[0.5196, -0.0251],[0.3737, 0.5616],[0.3647, 0.4052],[0.3963, 0.543],[0.4149, 0.6674],[0.263, 0.634],[0.2754, 0.5235],[0.3187, 0.6126],[0.3403, 0.705]
[0.3949, 1.0346],[0.5741, 0.9355],[0.6852, 0.7476],[0.623, 0.5882],[0.49, 0.5311],[0.6084, 0.5202],[0.6232, 0.3091],[0.6105, 0.1752],[0.5988, 0.0597],[0.4903, 0.512],[0.5058, 0.2743],[0.5192, 0.1126],[0.5302, -0.0174],[0.3761, 0.5528],[0.3743, 0.4074],[0.407, 0.548],[0.4234, 0.672],[0.2651, 0.6258],[0.281, 0.5216],[0.3269, 0.6125],[0.3487, 0.7054]
[0.4004, 1.0253],[0.5815, 0.9252],[0.6902, 0.7433],[0.6301, 0.5879],[0.5019, 0.5287],[0.6121, 0.5172],[0.628, 0.3085],[0.6149, 0.1751],[0.6024, 0.06],[0.4935, 0.5085],[0.5098, 0.2721],[0.5209, 0.1103],[0.5307, -0.0194],[0.3805, 0.5485],[0.375, 0.4047],[0.4048, 0.5462],[0.4224, 0.6705],[0.2711, 0.6213],[0.2818, 0.522],[0.3241, 0.6128],[0.347, 0.7038]
[0.4028, 1.0195],[0.5853, 0.9215],[0.6925, 0.7433],[0.6303, 0.5861],[0.502, 0.5223],[0.6147, 0.5189],[0.6303, 0.3101],[0.6171, 0.177],[0.605, 0.0612],[0.4966, 0.5095],[0.5128, 0.2725],[0.5246, 0.1115],[0.534, -0.018],[0.3825, 0.5497],[0.3774, 0.4009],[0.4085, 0.5427],[0.4255, 0.6665],[0.2715, 0.6225],[0.2845, 0.5189],[0.3269, 0.6103],[0.3476, 0.7018]
[0.4009, 1.0175],[0.5829, 0.9248],[0.6937, 0.7455],[0.6299, 0.5874],[0.5014, 0.5201],[0.6176, 0.5199],[0.6315, 0.3092],[0.6172, 0.1755],[0.6042, 0.059],[0.4978, 0.5089],[0.517, 0.2703],[0.5298, 0.1097],[0.5402, -0.0199],[0.3831, 0.5476],[0.3773, 0.3975],[0.4078, 0.5425],[0.4254, 0.6673],[0.2727, 0.62],[0.2874, 0.5165],[0.3288, 0.6121],[0.3497, 0.7064]
[0.4011, 1.0183],[0.5857, 0.922],[0.6914, 0.7428],[0.6299, 0.5857],[0.4995, 0.521],[0.6161, 0.5197],[0.6323, 0.3083],[0.6195, 0.1745],[0.6079, 0.0578],[0.4958, 0.5094],[0.5111, 0.2651],[0.5224, 0.1021],[0.5309, -0.0286],[0.3802, 0.5502],[0.3771, 0.3975],[0.4126, 0.5424],[0.431, 0.666],[0.268, 0.6253],[0.2872, 0.5154],[0.3322, 0.6097],[0.3527, 0.7021]
[0.3999, 1.0286],[0.5743, 0.936],[0.6851, 0.7505],[0.6264, 0.5886],[0.4964, 0.5218],[0.6111, 0.522],[0.6263, 0.3065],[0.6122, 0.1725],[0.5986, 0.0563],[0.4905, 0.5125],[0.5082, 0.2632],[0.52, 0.0985],[0.5282, -0.0344],[0.3751, 0.5541],[0.375, 0.3971],[0.4117, 0.5414],[0.4303, 0.6651],[0.2647, 0.6307],[0.2867, 0.5201],[0.3336, 0.6112],[0.3544, 0.7022]
[0.4004, 1.0316],[0.584, 0.9279],[0.6894, 0.743],[0.6249, 0.583],[0.4909, 0.5208],[0.6137, 0.5224],[0.6284, 0.309],[0.6142, 0.1751],[0.6006, 0.0589],[0.4932, 0.5147],[0.5088, 0.2733],[0.5201, 0.1101],[0.5287, -0.02],[0.3766, 0.5566],[0.3752, 0.4],[0.409, 0.5424],[0.4261, 0.6663],[0.2642, 0.6302],[0.2836, 0.5204],[0.3275, 0.6114],[0.3477, 0.7026]
[0.4018, 1.0285],[0.5845, 0.9249],[0.6901, 0.7424],[0.6272, 0.5858],[0.4954, 0.522],[0.6119, 0.5225],[0.627, 0.31],[0.614, 0.1765],[0.601, 0.0604],[0.4928, 0.5151],[0.51, 0.2767],[0.5213, 0.1153],[0.529, -0.0132],[0.378, 0.5566],[0.3737, 0.403],[0.4074, 0.5425],[0.4257, 0.6646],[0.2664, 0.6297],[0.2824, 0.5204],[0.3268, 0.6093],[0.3487, 0.6988]
[0.4017, 1.0277],[0.5838, 0.9259],[0.6886, 0.7444],[0.6272, 0.5856],[0.4951, 0.5181],[0.613, 0.5243],[0.6264, 0.3102],[0.6135, 0.1753],[0.6011, 0.0576],[0.4943, 0.5157],[0.5105, 0.2739],[0.5222, 0.1097],[0.5307, -0.0206],[0.3788, 0.556],[0.3727, 0.4011],[0.405, 0.5421],[0.422, 0.6646],[0.266, 0.6286],[0.2824, 0.5159],[0.3261, 0.6085],[0.3468, 0.7011]
[0.4011, 1.0319],[0.5797, 0.9342],[0.6873, 0.7497],[0.6267, 0.5909],[0.4964, 0.5221],[0.6115, 0.5243],[0.6269, 0.3097],[0.6146, 0.1745],[0.6026, 0.057],[0.4926, 0.5146],[0.5084, 0.2721],[0.5191, 0.1073],[0.527, -0.0238],[0.3774, 0.5551],[0.3743, 0.4],[0.4058, 0.5406],[0.422, 0.6632],[0.2657, 0.629],[0.2826, 0.5188],[0.3272, 0.6081],[0.348, 0.6981]
[0.4063, 1.0353],[0.5862, 0.931],[0.6876, 0.7472],[0.6246, 0.5886],[0.4954, 0.5177],[0.6118, 0.5246],[0.6275, 0.3092],[0.6146, 0.1732],[0.6019, 0.0555],[0.4937, 0.5159],[0.5072, 0.2696],[0.5182, 0.1015],[0.5265, -0.031],[0.3788, 0.557],[0.3759, 0.4036],[0.4096, 0.543],[0.4262, 0.6649],[0.2672, 0.6298],[0.2843, 0.5185],[0.3292, 0.6078],[0.3494, 0.6976]
[0.4051, 1.038],[0.5805, 0.9329],[0.6847, 0.7497],[0.6266, 0.5921],[0.4984, 0.52],[0.6102, 0.528],[0.6271, 0.3079],[0.6139, 0.1723],[0.6009, 0.0548],[0.4923, 0.5194],[0.508, 0.2711],[0.5187, 0.1043],[0.5265, -0.0265],[0.3776, 0.5599],[0.3757, 0.4053],[0.4089, 0.5459],[0.425, 0.6688],[0.267, 0.6321],[0.2845, 0.5221],[0.3293, 0.6112],[0.3496, 0.7007]
[0.4103, 1.0347],[0.5895, 0.9237],[0.6875, 0.7433],[0.6274, 0.5881],[0.4977, 0.5214],[0.6109, 0.525],[0.6267, 0.3085],[0.6136, 0.1733],[0.6012, 0.0556],[0.4936, 0.5173],[0.506, 0.2715],[0.518, 0.1049],[0.5274, -0.0252],[0.3784, 0.5588],[0.3752, 0.406],[0.4108, 0.5425],[0.4285, 0.6644],[0.2661, 0.6309],[0.2857, 0.5226],[0.3318, 0.6101],[0.3526, 0.699]
