"[0.9185, 0.5855]","[0.9038, 0.451]","[0.7649, 0.3577]","[0.6223, 0.3825]","[0.5369, 0.4779]","[0.551, 0.3819]","[0.3547, 0.363]","[0.2261, 0.3633]","[0.1131, 0.3666]","[0.5248, 0.4865]","[0.2944, 0.4671]","[0.1314, 0.4565]","[-0.0013, 0.4467]","[0.5437, 0.5885]","[0.4092, 0.5882]","[0.5366, 0.5791]","[0.6401, 0.5787]","[0.5922, 0.6927]","[0.4811, 0.6765]","[0.5677, 0.6513]","[0.6469, 0.6442]"
"[0.9738, 0.5951]","[0.9021, 0.4388]","[0.7617, 0.3481]","[0.6154, 0.3842]","[0.5187, 0.4691]","[0.5438, 0.3786]","[0.3485, 0.3615]","[0.2297, 0.3702]","[0.1228, 0.3832]","[0.5169, 0.4832]","[0.2645, 0.4643]","[0.0974, 0.4534]","[-0.0376, 0.444]","[0.5388, 0.5878]","[0.4076, 0.5896]","[0.5323, 0.5732]","[0.6367, 0.5663]","[0.5905, 0.6882]","[0.4824, 0.6808]","[0.5627, 0.6519]","[0.6417, 0.6402]"
"[0.9724, 0.5966]","[0.9061, 0.4444]","[0.7679, 0.3514]","[0.6213, 0.3821]","[0.523, 0.4644]","[0.5432, 0.381]","[0.346, 0.3641]","[0.2263, 0.3722]","[0.1172, 0.3862]","[0.5129, 0.4857]","[0.2508, 0.4672]","[0.0722, 0.457]","[-0.0766, 0.4493]","[0.534, 0.5908]","[0.4002, 0.5946]","[0.5272, 0.5784]","[0.6324, 0.5714]","[0.588, 0.6906]","[0.4794, 0.683]","[0.5614, 0.6536]","[0.6405, 0.6421]"
"[0.9785, 0.5942]","[0.9058, 0.4411]","[0.7645, 0.3505]","[0.6171, 0.3857]","[0.5158, 0.4639]","[0.5437, 0.3805]","[0.3464, 0.3652]","[0.2276, 0.3741]","[0.1201, 0.3883]","[0.5157, 0.4862]","[0.2579, 0.4692]","[0.0879, 0.4581]","[-0.051, 0.4481]","[0.5373, 0.5916]","[0.4051, 0.595]","[0.532, 0.5776]","[0.6374, 0.5699]","[0.5903, 0.6926]","[0.48, 0.6856]","[0.5622, 0.6557]","[0.6419, 0.6429]"
"[0.9792, 0.5951]","[0.9032, 0.4411]","[0.7597, 0.3524]","[0.6128, 0.3908]","[0.5136, 0.4721]","[0.542, 0.3827]","[0.3461, 0.3674]","[0.2275, 0.3774]","[0.1192, 0.3917]","[0.516, 0.488]","[0.261, 0.4726]","[0.0943, 0.4619]","[-0.0413, 0.4527]","[0.5389, 0.5924]","[0.4039, 0.5943]","[0.5298, 0.5769]","[0.6351, 0.5706]","[0.5924, 0.6927]","[0.4786, 0.6855]","[0.558, 0.6559]","[0.6375, 0.6451]"
"[0.9749, 0.5965]","[0.9011, 0.444]","[0.7599, 0.356]","[0.6156, 0.3901]","[0.5166, 0.4658]","[0.5388, 0.3859]","[0.3435, 0.3708]","[0.2266, 0.38]","[0.1209, 0.3941]","[0.5137, 0.4899]","[0.2604, 0.4745]","[0.0957, 0.4642]","[-0.0376, 0.4564]","[0.5372, 0.5935]","[0.4002, 0.5964]","[0.5249, 0.5774]","[0.6298, 0.5695]","[0.5916, 0.6925]","[0.4784, 0.6867]","[0.5568, 0.6562]","[0.6358, 0.6441]"
"[0.9723, 0.5993]","[0.9008, 0.4439]","[0.7578, 0.3563]","[0.611, 0.3924]","[0.5108, 0.4704]","[0.5393, 0.3879]","[0.3449, 0.3738]","[0.2266, 0.3829]","[0.1187, 0.3976]","[0.5103, 0.4922]","[0.25, 0.4771]","[0.0779, 0.4675]","[-0.0633, 0.4605]","[0.5332, 0.5961]","[0.3945, 0.5979]","[0.5214, 0.5779]","[0.6273, 0.5695]","[0.589, 0.6953]","[0.4761, 0.6877]","[0.5567, 0.6549]","[0.6367, 0.6416]"
"[0.9757, 0.6009]","[0.9048, 0.4461]","[0.7634, 0.3566]","[0.6155, 0.3899]","[0.5125, 0.4637]","[0.5428, 0.3874]","[0.3462, 0.3734]","[0.2276, 0.3814]","[0.1198, 0.3951]","[0.5142, 0.4922]","[0.2502, 0.4787]","[0.0767, 0.4694]","[-0.065, 0.461]","[0.536, 0.5965]","[0.3997, 0.6003]","[0.5256, 0.5809]","[0.6315, 0.5715]","[0.5889, 0.6959]","[0.478, 0.691]","[0.5569, 0.6595]","[0.6348, 0.6453]"
"[0.9757, 0.6003]","[0.902, 0.4449]","[0.7637, 0.3576]","[0.6151, 0.3909]","[0.5097, 0.4628]","[0.5448, 0.3872]","[0.3485, 0.3736]","[0.2292, 0.382]","[0.1207, 0.3952]","[0.5159, 0.491]","[0.2548, 0.4774]","[0.0827, 0.4676]","[-0.0573, 0.4586]","[0.5364, 0.5951]","[0.4016, 0.5989]","[0.5273, 0.5818]","[0.6326, 0.574]","[0.5873, 0.6948]","[0.4768, 0.6902]","[0.5573, 0.6607]","[0.636, 0.6477]"
"[0.973, 0.6006]","[0.902, 0.4463]","[0.7628, 0.3604]","[0.6164, 0.3948]","[0.5101, 0.4632]","[0.5425, 0.388]","[0.345, 0.3746]","[0.2244, 0.3837]","[0.1148, 0.3986]","[0.5136, 0.4917]","[0.251, 0.4768]","[0.0767, 0.4673]","[-0.0668, 0.4593]","[0.5347, 0.5955]","[0.4006, 0.6016]","[0.5267, 0.5838]","[0.6313, 0.575]","[0.5868, 0.6947]","[0.4774, 0.6904]","[0.5578, 0.6608]","[0.635, 0.648]"
"[0.9798, 0.6004]","[0.9027, 0.4429]","[0.7597, 0.3574]","[0.6116, 0.397]","[0.5099, 0.4724]","[0.5497, 0.3867]","[0.3528, 0.3737]","[0.2332, 0.3819]","[0.1242, 0.3946]","[0.5207, 0.4919]","[0.2612, 0.4765]","[0.088, 0.4665]","[-0.0531, 0.457]","[0.541, 0.5968]","[0.4066, 0.604]","[0.5321, 0.5863]","[0.6382, 0.5768]","[0.5919, 0.697]","[0.481, 0.6935]","[0.5605, 0.6633]","[0.6387, 0.6485]"
"[0.977, 0.5994]","[0.9013, 0.4428]","[0.7584, 0.3577]","[0.6106, 0.3954]","[0.5067, 0.4705]","[0.544, 0.3874]","[0.3499, 0.3731]","[0.2307, 0.3813]","[0.1224, 0.3943]","[0.5151, 0.4911]","[0.2544, 0.4756]","[0.0809, 0.4649]","[-0.0604, 0.4558]","[0.5356, 0.5951]","[0.404, 0.5971]","[0.5307, 0.5801]","[0.6361, 0.5732]","[0.5853, 0.6952]","[0.4762, 0.6884]","[0.5566, 0.6584]","[0.6346, 0.6466]"
"[0.9812, 0.6025]","[0.9097, 0.4462]","[0.7645, 0.359]","[0.619, 0.3924]","[0.5238, 0.4737]","[0.549, 0.387]","[0.3528, 0.3734]","[0.2327, 0.3807]","[0.1226, 0.3932]","[0.5183, 0.4907]","[0.2554, 0.4765]","[0.0765, 0.4666]","[-0.0706, 0.4584]","[0.5368, 0.5948]","[0.4077, 0.5989]","[0.5347, 0.5809]","[0.6396, 0.5733]","[0.5855, 0.6944]","[0.4811, 0.6867]","[0.5616, 0.6563]","[0.6392, 0.6431]"
"[0.9898, 0.6047]","[0.9172, 0.4509]","[0.7723, 0.3596]","[0.624, 0.3896]","[0.5293, 0.4682]","[0.5579, 0.3887]","[0.36, 0.3726]","[0.2384, 0.3784]","[0.1277, 0.3898]","[0.5264, 0.4919]","[0.2657, 0.4738]","[0.0879, 0.4616]","[-0.0593, 0.4515]","[0.5433, 0.5949]","[0.4113, 0.595]","[0.5343, 0.5802]","[0.6387, 0.5755]","[0.5915, 0.6939]","[0.4817, 0.6865]","[0.5551, 0.658]","[0.6312, 0.6453]"
"[0.9785, 0.6026]","[0.9059, 0.4478]","[0.7666, 0.3577]","[0.6226, 0.3889]","[0.5275, 0.469]","[0.547, 0.3865]","[0.3536, 0.3709]","[0.235, 0.3781]","[0.1258, 0.391]","[0.5158, 0.4897]","[0.2544, 0.4747]","[0.0778, 0.4645]","[-0.069, 0.4574]","[0.535, 0.5927]","[0.4058, 0.5952]","[0.5309, 0.5787]","[0.6355, 0.5738]","[0.5858, 0.6923]","[0.4783, 0.6852]","[0.5562, 0.6562]","[0.6346, 0.645]"
"[0.9834, 0.6006]","[0.9082, 0.4476]","[0.7633, 0.3582]","[0.6183, 0.3957]","[0.5243, 0.479]","[0.5471, 0.3892]","[0.3514, 0.3729]","[0.2334, 0.3795]","[0.1255, 0.3912]","[0.5184, 0.4926]","[0.2644, 0.4756]","[0.096, 0.4637]","[-0.041, 0.454]","[0.5383, 0.5957]","[0.4076, 0.5983]","[0.5337, 0.5818]","[0.6384, 0.5753]","[0.5889, 0.6954]","[0.4795, 0.6893]","[0.5605, 0.6601]","[0.6415, 0.6469]"
"[0.98, 0.6048]","[0.9044, 0.4495]","[0.762, 0.36]","[0.6184, 0.3925]","[0.5241, 0.4756]","[0.5437, 0.3908]","[0.348, 0.3733]","[0.2288, 0.3821]","[0.1201, 0.3948]","[0.5173, 0.4925]","[0.2722, 0.4759]","[0.1079, 0.4657]","[-0.0261, 0.4583]","[0.5379, 0.595]","[0.4074, 0.596]","[0.531, 0.5778]","[0.6351, 0.5717]","[0.5865, 0.6938]","[0.4794, 0.6844]","[0.558, 0.6548]","[0.6376, 0.6432]"
"[0.9757, 0.6021]","[0.9025, 0.4474]","[0.7613, 0.3584]","[0.6201, 0.3926]","[0.5249, 0.4741]","[0.5399, 0.3896]","[0.3452, 0.3724]","[0.2266, 0.3823]","[0.1186, 0.3969]","[0.5127, 0.4917]","[0.2622, 0.4751]","[0.0905, 0.4656]","[-0.0513, 0.4588]","[0.534, 0.5947]","[0.4036, 0.5989]","[0.5297, 0.5798]","[0.635, 0.5725]","[0.5847, 0.6939]","[0.4756, 0.685]","[0.5565, 0.6536]","[0.6368, 0.6408]"
"[0.9786, 0.5993]","[0.9027, 0.4447]","[0.7613, 0.3589]","[0.6198, 0.3965]","[0.5226, 0.4742]","[0.5453, 0.3882]","[0.3504, 0.3722]","[0.2306, 0.381]","[0.1214, 0.3942]","[0.5169, 0.4909]","[0.2657, 0.4753]","[0.0954, 0.4661]","[-0.0444, 0.4582]","[0.5369, 0.5942]","[0.4082, 0.6006]","[0.5331, 0.5836]","[0.6366, 0.5757]","[0.5862, 0.694]","[0.4784, 0.6897]","[0.5597, 0.6608]","[0.6385, 0.6478]"
"[0.9804, 0.6035]","[0.9057, 0.4473]","[0.7667, 0.3581]","[0.6235, 0.3936]","[0.5285, 0.4731]","[0.5507, 0.3896]","[0.3548, 0.373]","[0.2338, 0.3823]","[0.1236, 0.3953]","[0.5228, 0.4918]","[0.2747, 0.4744]","[0.1063, 0.4655]","[-0.0315, 0.4577]","[0.5419, 0.5942]","[0.4113, 0.5955]","[0.5337, 0.5813]","[0.6384, 0.5761]","[0.5896, 0.6934]","[0.4797, 0.6857]","[0.557, 0.6583]","[0.6358, 0.6471]"
"[0.9727, 0.6016]","[0.9036, 0.4469]","[0.7636, 0.3586]","[0.6232, 0.3948]","[0.5308, 0.4727]","[0.544, 0.3899]","[0.3473, 0.3736]","[0.2268, 0.3827]","[0.1173, 0.397]","[0.5147, 0.4925]","[0.2551, 0.4755]","[0.0759, 0.4666]","[-0.0732, 0.4603]","[0.535, 0.5953]","[0.4033, 0.6003]","[0.5295, 0.5828]","[0.6339, 0.5763]","[0.587, 0.694]","[0.4775, 0.687]","[0.5598, 0.6577]","[0.6394, 0.6474]"
"[0.9726, 0.6055]","[0.9006, 0.4483]","[0.7634, 0.3601]","[0.6224, 0.3944]","[0.5279, 0.473]","[0.5453, 0.3922]","[0.3495, 0.3767]","[0.2311, 0.3834]","[0.1219, 0.3961]","[0.5145, 0.4954]","[0.2511, 0.4786]","[0.0719, 0.4697]","[-0.0769, 0.4623]","[0.5339, 0.5988]","[0.4019, 0.6041]","[0.5281, 0.5875]","[0.6336, 0.58]","[0.5866, 0.6974]","[0.4774, 0.6931]","[0.5579, 0.6639]","[0.6371, 0.6514]"
"[0.9783, 0.6066]","[0.9044, 0.4496]","[0.7605, 0.3622]","[0.6159, 0.4036]","[0.5194, 0.4841]","[0.5442, 0.3928]","[0.3471, 0.3788]","[0.2284, 0.386]","[0.1195, 0.3992]","[0.5147, 0.4983]","[0.2509, 0.4817]","[0.0735, 0.4723]","[-0.0726, 0.4646]","[0.5352, 0.6033]","[0.4016, 0.609]","[0.5287, 0.5901]","[0.6334, 0.581]","[0.588, 0.7031]","[0.4764, 0.6971]","[0.5592, 0.6668]","[0.639, 0.6539]"
"[0.9843, 0.6115]","[0.907, 0.455]","[0.7617, 0.365]","[0.6145, 0.4022]","[0.5193, 0.4829]","[0.5455, 0.3946]","[0.3498, 0.3804]","[0.231, 0.3878]","[0.1231, 0.3996]","[0.5182, 0.4984]","[0.2631, 0.4837]","[0.0971, 0.4718]","[-0.0387, 0.4607]","[0.5391, 0.6022]","[0.4029, 0.6041]","[0.5279, 0.5885]","[0.6328, 0.583]","[0.5901, 0.7016]","[0.477, 0.6956]","[0.5546, 0.6679]","[0.6326, 0.657]"
"[0.9865, 0.6095]","[0.9127, 0.456]","[0.7665, 0.3667]","[0.6182, 0.4008]","[0.5158, 0.4782]","[0.5459, 0.3966]","[0.3518, 0.3807]","[0.2321, 0.3886]","[0.1242, 0.4]","[0.5198, 0.4989]","[0.2706, 0.4811]","[0.1051, 0.4671]","[-0.0286, 0.4565]","[0.54, 0.6015]","[0.4028, 0.5982]","[0.5261, 0.581]","[0.6321, 0.5777]","[0.5878, 0.7009]","[0.4691, 0.6892]","[0.5463, 0.6595]","[0.6274, 0.6508]"
"[0.987, 0.6058]","[0.9117, 0.4545]","[0.7697, 0.3649]","[0.6242, 0.3963]","[0.5196, 0.4675]","[0.5486, 0.3941]","[0.3548, 0.3767]","[0.2353, 0.386]","[0.1272, 0.3986]","[0.5251, 0.4968]","[0.2839, 0.4763]","[0.1237, 0.4643]","[-0.0059, 0.4554]","[0.5462, 0.5998]","[0.4112, 0.5951]","[0.5312, 0.5795]","[0.6349, 0.5758]","[0.5944, 0.6996]","[0.4797, 0.6862]","[0.557, 0.6577]","[0.6379, 0.649]"
"[0.9794, 0.6027]","[0.9097, 0.4511]","[0.7717, 0.3625]","[0.6271, 0.3972]","[0.5176, 0.4682]","[0.5445, 0.3902]","[0.3503, 0.3727]","[0.2308, 0.3834]","[0.1227, 0.3966]","[0.5215, 0.4924]","[0.2786, 0.4748]","[0.1141, 0.4653]","[-0.0196, 0.4572]","[0.5437, 0.595]","[0.4088, 0.594]","[0.5297, 0.5789]","[0.634, 0.5745]","[0.5925, 0.6937]","[0.4763, 0.6827]","[0.5551, 0.6537]","[0.6364, 0.6439]"
"[0.9767, 0.6008]","[0.9095, 0.4525]","[0.7673, 0.3627]","[0.6261, 0.4022]","[0.5279, 0.484]","[0.5404, 0.3896]","[0.3465, 0.3728]","[0.2275, 0.3832]","[0.1209, 0.3988]","[0.5145, 0.494]","[0.2654, 0.4736]","[0.0953, 0.4631]","[-0.0442, 0.4554]","[0.5372, 0.5975]","[0.4065, 0.6036]","[0.5278, 0.5862]","[0.6314, 0.5781]","[0.5904, 0.696]","[0.4836, 0.6889]","[0.5623, 0.6591]","[0.6411, 0.6459]"
"[0.983, 0.6036]","[0.9106, 0.4512]","[0.7685, 0.3618]","[0.6249, 0.4007]","[0.5242, 0.4791]","[0.5489, 0.3911]","[0.3536, 0.3744]","[0.2331, 0.3836]","[0.1249, 0.3968]","[0.5229, 0.4952]","[0.2764, 0.4732]","[0.1112, 0.462]","[-0.0226, 0.4527]","[0.5439, 0.5985]","[0.4146, 0.6014]","[0.5327, 0.5865]","[0.6354, 0.5795]","[0.5935, 0.6981]","[0.4868, 0.6916]","[0.5628, 0.6633]","[0.6409, 0.6499]"
"[0.9807, 0.6063]","[0.9116, 0.4578]","[0.7715, 0.3671]","[0.6322, 0.3973]","[0.5333, 0.4736]","[0.5456, 0.3942]","[0.3524, 0.3756]","[0.2335, 0.3849]","[0.1254, 0.3984]","[0.5185, 0.4961]","[0.2761, 0.4762]","[0.1116, 0.4646]","[-0.0228, 0.456]","[0.5382, 0.5976]","[0.4095, 0.6013]","[0.5296, 0.5851]","[0.6334, 0.5788]","[0.5861, 0.6945]","[0.4807, 0.6884]","[0.5567, 0.6597]","[0.6341, 0.6464]"
"[0.9825, 0.6117]","[0.9151, 0.4628]","[0.7724, 0.3697]","[0.6285, 0.399]","[0.5282, 0.476]","[0.5469, 0.3967]","[0.3511, 0.3786]","[0.2311, 0.387]","[0.1215, 0.4007]","[0.5183, 0.4996]","[0.2658, 0.4796]","[0.0918, 0.4685]","[-0.0521, 0.4604]","[0.538, 0.6024]","[0.4048, 0.6032]","[0.5266, 0.5881]","[0.6312, 0.5837]","[0.588, 0.7007]","[0.4802, 0.6922]","[0.5575, 0.6633]","[0.6364, 0.6521]"
"[0.9811, 0.614]","[0.9125, 0.4617]","[0.7701, 0.3701]","[0.625, 0.403]","[0.5263, 0.482]","[0.5473, 0.3987]","[0.352, 0.3803]","[0.2324, 0.3871]","[0.1221, 0.4003]","[0.5166, 0.5013]","[0.2548, 0.4814]","[0.0771, 0.4711]","[-0.0709, 0.4649]","[0.5361, 0.6043]","[0.4005, 0.6097]","[0.5256, 0.5914]","[0.6317, 0.5839]","[0.5872, 0.7034]","[0.479, 0.6977]","[0.559, 0.6673]","[0.6381, 0.6546]"
"[0.9868, 0.6133]","[0.913, 0.4612]","[0.7675, 0.3707]","[0.6192, 0.4033]","[0.5162, 0.4786]","[0.5473, 0.3993]","[0.3499, 0.3795]","[0.2303, 0.3849]","[0.1204, 0.3972]","[0.5179, 0.5028]","[0.255, 0.4819]","[0.08, 0.4695]","[-0.0637, 0.4617]","[0.5377, 0.607]","[0.404, 0.6092]","[0.5315, 0.5924]","[0.6376, 0.5869]","[0.5878, 0.707]","[0.4774, 0.6993]","[0.5587, 0.6706]","[0.6383, 0.659]"
"[0.9899, 0.614]","[0.9141, 0.464]","[0.7677, 0.3739]","[0.6172, 0.4044]","[0.5142, 0.4804]","[0.5515, 0.4009]","[0.3535, 0.3794]","[0.2338, 0.3864]","[0.1246, 0.3981]","[0.5236, 0.5033]","[0.2729, 0.4781]","[0.1099, 0.4634]","[-0.0229, 0.4522]","[0.5429, 0.6068]","[0.4064, 0.6076]","[0.5293, 0.592]","[0.6361, 0.5859]","[0.5907, 0.7065]","[0.4742, 0.7013]","[0.548, 0.674]","[0.6266, 0.6619]"
"[0.984, 0.6136]","[0.9105, 0.4658]","[0.7659, 0.3773]","[0.6176, 0.4065]","[0.5107, 0.4792]","[0.5439, 0.4018]","[0.3438, 0.382]","[0.2228, 0.3914]","[0.1131, 0.4043]","[0.5181, 0.5036]","[0.2714, 0.4812]","[0.1058, 0.4683]","[-0.0296, 0.4584]","[0.5384, 0.6062]","[0.4008, 0.6119]","[0.5241, 0.5952]","[0.6311, 0.5876]","[0.5858, 0.7045]","[0.4705, 0.6993]","[0.5461, 0.6707]","[0.6248, 0.6576]"
"[0.9801, 0.6167]","[0.9095, 0.4706]","[0.7671, 0.3779]","[0.6191, 0.4069]","[0.5152, 0.482]","[0.5409, 0.4053]","[0.3428, 0.3863]","[0.2221, 0.3948]","[0.1128, 0.4077]","[0.5128, 0.5075]","[0.2594, 0.4878]","[0.0875, 0.4764]","[-0.0541, 0.4674]","[0.5328, 0.6094]","[0.3969, 0.6173]","[0.5199, 0.6004]","[0.6278, 0.5924]","[0.5823, 0.7073]","[0.4692, 0.7062]","[0.5448, 0.677]","[0.6247, 0.6626]"
"[0.9885, 0.6204]","[0.9146, 0.4694]","[0.7703, 0.3765]","[0.6193, 0.4052]","[0.5116, 0.4775]","[0.5418, 0.4057]","[0.3453, 0.3874]","[0.2248, 0.3952]","[0.1157, 0.408]","[0.514, 0.508]","[0.265, 0.4864]","[0.0968, 0.4731]","[-0.0399, 0.4626]","[0.5345, 0.6114]","[0.397, 0.6086]","[0.5213, 0.5935]","[0.6287, 0.5885]","[0.5839, 0.7102]","[0.4701, 0.7016]","[0.5429, 0.6703]","[0.6199, 0.656]"
"[0.9856, 0.6234]","[0.916, 0.4736]","[0.7712, 0.382]","[0.6239, 0.4061]","[0.5126, 0.4706]","[0.5379, 0.4087]","[0.3406, 0.3886]","[0.2203, 0.3974]","[0.1109, 0.4109]","[0.5108, 0.5098]","[0.2643, 0.4907]","[0.0998, 0.4787]","[-0.0354, 0.4709]","[0.5312, 0.612]","[0.3931, 0.618]","[0.519, 0.5974]","[0.6264, 0.5885]","[0.5784, 0.7103]","[0.4634, 0.7066]","[0.5389, 0.6759]","[0.6164, 0.6618]"
