"[0.6177, 0.9556]","[0.4083, 0.9019]","[0.225, 0.7824]","[0.0644, 0.7169]","[-0.0696, 0.6784]","[0.3875, 0.4563]","[0.369, 0.2149]","[0.3653, 0.0791]","[0.3647, -0.0278]","[0.5196, 0.4598]","[0.5415, 0.3113]","[0.5515, 0.477]","[0.5548, 0.6051]","[0.6472, 0.4919]","[0.663, 0.3646]","[0.6655, 0.5179]","[0.6571, 0.628]","[0.7672, 0.5425]","[0.7917, 0.4119]","[0.7767, 0.5034]","[0.7537, 0.5932]"
"[0.5694, 0.9636]","[0.373, 0.8795]","[0.1875, 0.75]","[0.0042, 0.6739]","[-0.1495, 0.6501]","[0.3458, 0.4322]","[0.3269, 0.1827]","[0.3271, 0.0415]","[0.3332, -0.082]","[0.4804, 0.4373]","[0.5057, 0.3133]","[0.5179, 0.4955]","[0.5211, 0.6256]","[0.612, 0.4782]","[0.6407, 0.3626]","[0.6289, 0.5171]","[0.6077, 0.6281]","[0.7301, 0.5389]","[0.7678, 0.4164]","[0.7359, 0.5072]","[0.7064, 0.5842]"
"[0.578, 0.9753]","[0.3715, 0.8711]","[0.189, 0.7511]","[-0.0117, 0.6731]","[-0.1783, 0.6499]","[0.3506, 0.435]","[0.3356, 0.1891]","[0.3346, 0.0468]","[0.3386, -0.0786]","[0.4818, 0.4395]","[0.5035, 0.3194]","[0.513, 0.4994]","[0.5155, 0.6296]","[0.6144, 0.4816]","[0.6413, 0.3662]","[0.6277, 0.5247]","[0.6027, 0.6416]","[0.7259, 0.5458]","[0.7649, 0.4267]","[0.7287, 0.5174]","[0.6992, 0.5955]"
"[0.575, 0.9685]","[0.3763, 0.8819]","[0.1944, 0.7617]","[0.0036, 0.6825]","[-0.1568, 0.656]","[0.3458, 0.4412]","[0.3332, 0.1955]","[0.3287, 0.0529]","[0.3275, -0.0738]","[0.4805, 0.4421]","[0.5003, 0.3134]","[0.5135, 0.4931]","[0.5181, 0.6238]","[0.612, 0.4804]","[0.6379, 0.3645]","[0.6273, 0.5193]","[0.6061, 0.6358]","[0.7292, 0.5391]","[0.7631, 0.4227]","[0.7318, 0.5107]","[0.7025, 0.5894]"
"[0.5755, 0.9695]","[0.3775, 0.8827]","[0.1942, 0.7583]","[-0.0003, 0.6824]","[-0.1636, 0.6581]","[0.3461, 0.4332]","[0.3287, 0.1825]","[0.3266, 0.0358]","[0.3301, -0.0928]","[0.4795, 0.4376]","[0.5026, 0.3102]","[0.5165, 0.4983]","[0.5212, 0.6328]","[0.6114, 0.4794]","[0.6408, 0.3641]","[0.6306, 0.528]","[0.6073, 0.6465]","[0.7283, 0.541]","[0.7639, 0.4262]","[0.7326, 0.5179]","[0.7022, 0.5948]"
"[0.5753, 0.9755]","[0.3752, 0.8849]","[0.1897, 0.7599]","[-0.0044, 0.6825]","[-0.1677, 0.6565]","[0.3463, 0.4367]","[0.3319, 0.1895]","[0.3272, 0.0484]","[0.3263, -0.074]","[0.4817, 0.4427]","[0.5095, 0.3161]","[0.5215, 0.5008]","[0.5223, 0.6336]","[0.6134, 0.4843]","[0.6458, 0.3665]","[0.6331, 0.5312]","[0.6073, 0.6522]","[0.7305, 0.5464]","[0.7674, 0.4289]","[0.736, 0.5241]","[0.7037, 0.6064]"
"[0.5734, 0.9661]","[0.3722, 0.8798]","[0.1895, 0.7596]","[-0.0009, 0.6821]","[-0.1608, 0.6545]","[0.3456, 0.4315]","[0.3325, 0.1806]","[0.3316, 0.0368]","[0.3338, -0.0889]","[0.4808, 0.437]","[0.5049, 0.3127]","[0.5163, 0.4959]","[0.5164, 0.6254]","[0.6134, 0.4781]","[0.6416, 0.3639]","[0.629, 0.5231]","[0.6029, 0.6382]","[0.7313, 0.5386]","[0.7668, 0.4234]","[0.7343, 0.5146]","[0.7015, 0.5916]"
"[0.5793, 0.9742]","[0.3772, 0.879]","[0.195, 0.7581]","[-0.0004, 0.6824]","[-0.1617, 0.66]","[0.3495, 0.4342]","[0.3326, 0.1838]","[0.329, 0.0395]","[0.3295, -0.086]","[0.4826, 0.4379]","[0.5063, 0.315]","[0.5202, 0.498]","[0.5231, 0.629]","[0.615, 0.4791]","[0.6437, 0.3615]","[0.6322, 0.5242]","[0.6072, 0.6437]","[0.7299, 0.5428]","[0.7681, 0.4271]","[0.7355, 0.5189]","[0.7044, 0.5975]"
"[0.5782, 0.9681]","[0.3791, 0.8792]","[0.1959, 0.7612]","[0.0035, 0.6824]","[-0.1538, 0.6518]","[0.348, 0.4338]","[0.3324, 0.1852]","[0.3286, 0.0419]","[0.3295, -0.0845]","[0.4823, 0.437]","[0.5062, 0.314]","[0.5174, 0.4965]","[0.5189, 0.6263]","[0.6143, 0.4775]","[0.6434, 0.3607]","[0.6296, 0.5189]","[0.6051, 0.6352]","[0.7306, 0.5392]","[0.7682, 0.423]","[0.7357, 0.514]","[0.7056, 0.5916]"
"[0.576, 0.9652]","[0.3816, 0.8795]","[0.1978, 0.7587]","[0.0061, 0.6839]","[-0.1529, 0.6558]","[0.3484, 0.4353]","[0.3355, 0.1881]","[0.3344, 0.045]","[0.3379, -0.0797]","[0.4843, 0.4395]","[0.5116, 0.3125]","[0.5247, 0.4925]","[0.5256, 0.6204]","[0.6158, 0.479]","[0.6466, 0.3637]","[0.6355, 0.5178]","[0.6107, 0.6316]","[0.7333, 0.5376]","[0.7717, 0.426]","[0.7406, 0.5145]","[0.7071, 0.5898]"
"[0.5815, 0.9629]","[0.3843, 0.8807]","[0.2005, 0.7589]","[0.0127, 0.6819]","[-0.1434, 0.6522]","[0.3518, 0.4346]","[0.3408, 0.1891]","[0.3396, 0.048]","[0.3411, -0.0754]","[0.4872, 0.4378]","[0.5137, 0.3095]","[0.5284, 0.4914]","[0.5291, 0.6207]","[0.6191, 0.4768]","[0.6496, 0.3601]","[0.6404, 0.517]","[0.6156, 0.6305]","[0.7369, 0.5357]","[0.7743, 0.4219]","[0.744, 0.5117]","[0.711, 0.5864]"
"[0.5813, 0.9682]","[0.3826, 0.8778]","[0.1954, 0.7526]","[-0.0014, 0.677]","[-0.1638, 0.6523]","[0.3503, 0.4312]","[0.3373, 0.1852]","[0.335, 0.0434]","[0.3356, -0.0799]","[0.4848, 0.4344]","[0.508, 0.3091]","[0.5247, 0.4919]","[0.5305, 0.6215]","[0.6176, 0.4742]","[0.6456, 0.3577]","[0.6365, 0.5141]","[0.6143, 0.6278]","[0.7349, 0.5344]","[0.7686, 0.4205]","[0.7369, 0.5123]","[0.7077, 0.5884]"
"[0.5797, 0.9677]","[0.3797, 0.8771]","[0.1953, 0.7547]","[0.006, 0.6791]","[-0.15, 0.6563]","[0.3503, 0.4339]","[0.3364, 0.1881]","[0.3309, 0.0491]","[0.3286, -0.0736]","[0.4868, 0.4357]","[0.515, 0.3135]","[0.5302, 0.4937]","[0.5334, 0.6234]","[0.6201, 0.4751]","[0.6507, 0.3601]","[0.6395, 0.5209]","[0.615, 0.6375]","[0.7357, 0.5374]","[0.7753, 0.4224]","[0.742, 0.5149]","[0.7109, 0.5932]"
"[0.5817, 0.9692]","[0.3802, 0.8776]","[0.1975, 0.7562]","[0.0059, 0.6788]","[-0.1516, 0.6516]","[0.3558, 0.4299]","[0.3392, 0.1845]","[0.3354, 0.0442]","[0.3364, -0.0803]","[0.4894, 0.433]","[0.5136, 0.3127]","[0.5284, 0.496]","[0.5327, 0.6267]","[0.6218, 0.4742]","[0.6485, 0.3612]","[0.6384, 0.5232]","[0.6154, 0.6389]","[0.7362, 0.5377]","[0.7728, 0.4209]","[0.7387, 0.5142]","[0.7091, 0.5911]"
"[0.5749, 0.9568]","[0.38, 0.8801]","[0.1942, 0.7559]","[0.0135, 0.6782]","[-0.1406, 0.6514]","[0.3527, 0.4325]","[0.3412, 0.187]","[0.3423, 0.0467]","[0.3445, -0.0749]","[0.488, 0.4376]","[0.5153, 0.309]","[0.5286, 0.4796]","[0.5275, 0.6037]","[0.6183, 0.4772]","[0.6518, 0.3626]","[0.6408, 0.511]","[0.6147, 0.622]","[0.7391, 0.536]","[0.7745, 0.423]","[0.7459, 0.5105]","[0.7113, 0.5874]"
"[0.5796, 0.9568]","[0.3855, 0.8834]","[0.2019, 0.7583]","[0.0207, 0.6818]","[-0.1351, 0.6539]","[0.3554, 0.4356]","[0.3415, 0.1913]","[0.3412, 0.0518]","[0.343, -0.0668]","[0.4893, 0.44]","[0.5165, 0.3092]","[0.5325, 0.4821]","[0.5329, 0.6089]","[0.619, 0.4785]","[0.6534, 0.3618]","[0.6455, 0.5117]","[0.6204, 0.6247]","[0.7395, 0.5359]","[0.779, 0.4236]","[0.752, 0.5076]","[0.7156, 0.583]"
"[0.5788, 0.9602]","[0.3855, 0.8835]","[0.2008, 0.7562]","[0.0134, 0.6801]","[-0.1483, 0.6511]","[0.3548, 0.4315]","[0.3411, 0.1896]","[0.3411, 0.0492]","[0.344, -0.0702]","[0.4893, 0.4375]","[0.5147, 0.308]","[0.5314, 0.4878]","[0.5342, 0.6163]","[0.6201, 0.4787]","[0.6521, 0.3616]","[0.6444, 0.5157]","[0.6209, 0.6302]","[0.7399, 0.5378]","[0.7754, 0.4232]","[0.748, 0.5133]","[0.715, 0.5924]"
"[0.5789, 0.9573]","[0.3848, 0.8808]","[0.2003, 0.7579]","[0.0134, 0.6831]","[-0.144, 0.6595]","[0.3547, 0.432]","[0.3397, 0.1849]","[0.3381, 0.0438]","[0.3399, -0.0781]","[0.4883, 0.4372]","[0.5121, 0.3129]","[0.5299, 0.4911]","[0.5353, 0.6191]","[0.6189, 0.4772]","[0.6482, 0.3643]","[0.6405, 0.5153]","[0.6182, 0.6265]","[0.7376, 0.5356]","[0.7731, 0.4233]","[0.7433, 0.5128]","[0.7108, 0.5896]"
"[0.5844, 0.9605]","[0.3868, 0.8782]","[0.2033, 0.7608]","[0.0162, 0.6872]","[-0.1405, 0.6654]","[0.3558, 0.4376]","[0.34, 0.1921]","[0.3386, 0.0512]","[0.3426, -0.0714]","[0.4899, 0.4402]","[0.5144, 0.3183]","[0.5318, 0.4985]","[0.5398, 0.6266]","[0.6208, 0.4787]","[0.6493, 0.3644]","[0.6413, 0.5174]","[0.6219, 0.63]","[0.7377, 0.5372]","[0.7758, 0.4265]","[0.7439, 0.5166]","[0.7127, 0.5935]"
"[0.5871, 0.966]","[0.3891, 0.8813]","[0.206, 0.7617]","[0.017, 0.6836]","[-0.1415, 0.6572]","[0.3609, 0.4392]","[0.3467, 0.195]","[0.3412, 0.0548]","[0.3422, -0.0687]","[0.4946, 0.4417]","[0.5217, 0.3164]","[0.5359, 0.4976]","[0.5402, 0.6255]","[0.6255, 0.4808]","[0.6552, 0.3663]","[0.6452, 0.5212]","[0.6226, 0.6343]","[0.7413, 0.5409]","[0.782, 0.426]","[0.7483, 0.5155]","[0.713, 0.5926]"
"[0.5883, 0.963]","[0.3914, 0.8821]","[0.2065, 0.7612]","[0.0211, 0.6844]","[-0.1348, 0.6586]","[0.3619, 0.4377]","[0.3488, 0.1975]","[0.3483, 0.0609]","[0.3525, -0.0586]","[0.4958, 0.4403]","[0.521, 0.3159]","[0.5374, 0.4962]","[0.5424, 0.6215]","[0.6261, 0.4784]","[0.6557, 0.3669]","[0.6472, 0.5198]","[0.6253, 0.6291]","[0.7434, 0.536]","[0.7808, 0.4231]","[0.7504, 0.5129]","[0.7178, 0.5871]"
"[0.5896, 0.9613]","[0.3912, 0.8769]","[0.2048, 0.7566]","[0.0116, 0.6812]","[-0.1508, 0.6581]","[0.3612, 0.4334]","[0.3449, 0.187]","[0.3443, 0.0437]","[0.3485, -0.0811]","[0.4945, 0.437]","[0.5196, 0.3164]","[0.5374, 0.4984]","[0.5412, 0.625]","[0.6261, 0.4768]","[0.6561, 0.3675]","[0.6489, 0.5218]","[0.6236, 0.6323]","[0.7414, 0.5359]","[0.7796, 0.4241]","[0.7488, 0.5148]","[0.7151, 0.589]"
"[0.588, 0.9621]","[0.3907, 0.8783]","[0.2062, 0.7618]","[0.0183, 0.685]","[-0.1386, 0.6595]","[0.3618, 0.439]","[0.3448, 0.1992]","[0.3406, 0.0618]","[0.3424, -0.0597]","[0.4957, 0.441]","[0.5227, 0.319]","[0.5392, 0.4987]","[0.5436, 0.6265]","[0.626, 0.479]","[0.6557, 0.3664]","[0.6473, 0.522]","[0.6257, 0.636]","[0.7421, 0.5381]","[0.7798, 0.4255]","[0.7494, 0.5163]","[0.7179, 0.5934]"
"[0.5845, 0.9558]","[0.3901, 0.8767]","[0.2069, 0.7608]","[0.0179, 0.6868]","[-0.1442, 0.6612]","[0.3587, 0.4321]","[0.342, 0.1907]","[0.3401, 0.0516]","[0.3434, -0.07]","[0.4928, 0.4365]","[0.5188, 0.3165]","[0.5357, 0.4965]","[0.5392, 0.6238]","[0.6232, 0.4752]","[0.6536, 0.3693]","[0.6455, 0.5223]","[0.6214, 0.6333]","[0.7397, 0.5316]","[0.7766, 0.4232]","[0.7475, 0.5143]","[0.7153, 0.5897]"
"[0.5854, 0.9653]","[0.3915, 0.8825]","[0.2044, 0.7592]","[0.0106, 0.6852]","[-0.1566, 0.6644]","[0.3579, 0.4389]","[0.3419, 0.1991]","[0.3387, 0.0614]","[0.3403, -0.0585]","[0.4925, 0.4432]","[0.5209, 0.3219]","[0.5367, 0.5008]","[0.5392, 0.6302]","[0.6223, 0.4816]","[0.6552, 0.37]","[0.6468, 0.5243]","[0.623, 0.6398]","[0.7389, 0.5378]","[0.7757, 0.4258]","[0.7465, 0.5183]","[0.714, 0.5986]"
"[0.5851, 0.9596]","[0.3877, 0.8785]","[0.2019, 0.7594]","[0.0144, 0.6848]","[-0.1437, 0.6626]","[0.3563, 0.4346]","[0.3392, 0.1898]","[0.3333, 0.0493]","[0.3335, -0.0741]","[0.4901, 0.4385]","[0.5206, 0.317]","[0.5358, 0.4956]","[0.5388, 0.6253]","[0.6202, 0.4765]","[0.6541, 0.3672]","[0.6451, 0.5213]","[0.6211, 0.6345]","[0.7357, 0.5335]","[0.7781, 0.4218]","[0.7484, 0.5134]","[0.7161, 0.5906]"
"[0.5899, 0.9697]","[0.3897, 0.8821]","[0.205, 0.763]","[0.011, 0.6808]","[-0.1493, 0.6503]","[0.3552, 0.4348]","[0.3361, 0.1865]","[0.3336, 0.0443]","[0.3385, -0.0832]","[0.4886, 0.4386]","[0.5173, 0.3133]","[0.5299, 0.4959]","[0.5318, 0.6278]","[0.6192, 0.4789]","[0.6506, 0.3644]","[0.6401, 0.5281]","[0.6156, 0.6475]","[0.7322, 0.5397]","[0.7715, 0.4254]","[0.7418, 0.526]","[0.713, 0.6095]"
"[0.5915, 0.9668]","[0.3906, 0.8768]","[0.208, 0.7662]","[0.0162, 0.6849]","[-0.1397, 0.656]","[0.3537, 0.4385]","[0.3346, 0.1904]","[0.3297, 0.053]","[0.3307, -0.0709]","[0.4881, 0.4391]","[0.5187, 0.3209]","[0.5318, 0.5]","[0.533, 0.6296]","[0.6189, 0.478]","[0.6502, 0.3658]","[0.6383, 0.527]","[0.6133, 0.6446]","[0.7302, 0.5387]","[0.7708, 0.4244]","[0.7388, 0.5229]","[0.7095, 0.6047]"
"[0.5894, 0.9674]","[0.3883, 0.8816]","[0.2054, 0.7671]","[0.016, 0.6862]","[-0.1393, 0.6571]","[0.3543, 0.4377]","[0.3358, 0.1895]","[0.3315, 0.0505]","[0.3338, -0.0738]","[0.4883, 0.4412]","[0.5201, 0.3191]","[0.5297, 0.4982]","[0.5278, 0.6292]","[0.6188, 0.4812]","[0.6524, 0.3653]","[0.638, 0.5265]","[0.6102, 0.646]","[0.7317, 0.5422]","[0.773, 0.4251]","[0.7413, 0.5226]","[0.7094, 0.6059]"
"[0.5919, 0.9712]","[0.3893, 0.8824]","[0.2072, 0.7669]","[0.017, 0.6846]","[-0.1357, 0.6529]","[0.3559, 0.4392]","[0.337, 0.1944]","[0.3319, 0.0558]","[0.3333, -0.0684]","[0.4888, 0.4422]","[0.5192, 0.3232]","[0.529, 0.5003]","[0.5268, 0.6262]","[0.6195, 0.482]","[0.6511, 0.3678]","[0.6378, 0.5282]","[0.6105, 0.644]","[0.732, 0.5445]","[0.7726, 0.429]","[0.7401, 0.5271]","[0.709, 0.6078]"
"[0.5916, 0.9683]","[0.3901, 0.8831]","[0.2057, 0.7641]","[0.0176, 0.684]","[-0.1329, 0.6541]","[0.3564, 0.4365]","[0.3373, 0.1894]","[0.3333, 0.0463]","[0.3352, -0.0817]","[0.4891, 0.4383]","[0.5164, 0.3189]","[0.5296, 0.4992]","[0.5309, 0.624]","[0.6202, 0.4774]","[0.6485, 0.3657]","[0.6379, 0.527]","[0.6134, 0.6395]","[0.7347, 0.5396]","[0.7706, 0.424]","[0.7394, 0.5222]","[0.71, 0.6003]"
"[0.5886, 0.9628]","[0.3851, 0.8722]","[0.2039, 0.7616]","[0.017, 0.6811]","[-0.135, 0.6512]","[0.3556, 0.4379]","[0.3345, 0.1904]","[0.3287, 0.0474]","[0.3293, -0.0812]","[0.4879, 0.438]","[0.5147, 0.322]","[0.5291, 0.5013]","[0.5331, 0.6268]","[0.6205, 0.4765]","[0.6479, 0.3639]","[0.6377, 0.525]","[0.6152, 0.6381]","[0.7337, 0.5397]","[0.7708, 0.4224]","[0.7376, 0.5214]","[0.7105, 0.6002]"
"[0.5886, 0.9579]","[0.3876, 0.8758]","[0.2065, 0.7624]","[0.0235, 0.6828]","[-0.1293, 0.6532]","[0.3557, 0.4374]","[0.336, 0.1858]","[0.3306, 0.0377]","[0.3329, -0.0927]","[0.4894, 0.4397]","[0.5203, 0.3198]","[0.535, 0.5019]","[0.5386, 0.6321]","[0.6203, 0.4778]","[0.653, 0.3654]","[0.6425, 0.5262]","[0.6185, 0.6428]","[0.7352, 0.5374]","[0.7747, 0.4248]","[0.7441, 0.5224]","[0.714, 0.6028]"
"[0.5932, 0.9636]","[0.3934, 0.8811]","[0.2123, 0.7682]","[0.0305, 0.6884]","[-0.1191, 0.6531]","[0.3584, 0.4399]","[0.3398, 0.195]","[0.3345, 0.0535]","[0.3364, -0.0735]","[0.4928, 0.4422]","[0.527, 0.3216]","[0.5392, 0.5008]","[0.5395, 0.6286]","[0.6227, 0.4804]","[0.6576, 0.3701]","[0.6458, 0.5297]","[0.621, 0.645]","[0.7363, 0.5402]","[0.7783, 0.4286]","[0.7482, 0.5273]","[0.7179, 0.6084]"
"[0.5934, 0.9649]","[0.394, 0.8831]","[0.2103, 0.7641]","[0.0245, 0.6828]","[-0.1289, 0.6536]","[0.3592, 0.4369]","[0.3405, 0.1951]","[0.3375, 0.0546]","[0.3424, -0.0711]","[0.4941, 0.4407]","[0.5244, 0.3168]","[0.5373, 0.5]","[0.5394, 0.6292]","[0.6249, 0.4807]","[0.6562, 0.3669]","[0.6453, 0.5265]","[0.6221, 0.642]","[0.7407, 0.5414]","[0.7775, 0.426]","[0.7483, 0.5233]","[0.7199, 0.6039]"
"[0.5942, 0.9666]","[0.3942, 0.8821]","[0.2105, 0.7624]","[0.0227, 0.6834]","[-0.1296, 0.6564]","[0.3581, 0.4374]","[0.3397, 0.193]","[0.3381, 0.0508]","[0.3452, -0.0768]","[0.4929, 0.441]","[0.5253, 0.3178]","[0.5397, 0.5006]","[0.5419, 0.6284]","[0.6244, 0.4811]","[0.6566, 0.3695]","[0.6464, 0.5303]","[0.6214, 0.6443]","[0.7394, 0.543]","[0.7797, 0.4279]","[0.7495, 0.5254]","[0.7185, 0.6047]"
"[0.5957, 0.9679]","[0.3954, 0.8829]","[0.2103, 0.7637]","[0.0275, 0.6846]","[-0.1214, 0.6552]","[0.3571, 0.4406]","[0.3408, 0.1997]","[0.3381, 0.0602]","[0.3433, -0.0668]","[0.4934, 0.4429]","[0.5254, 0.3187]","[0.537, 0.5011]","[0.5379, 0.6312]","[0.624, 0.4809]","[0.6562, 0.3703]","[0.6445, 0.53]","[0.6213, 0.6452]","[0.7395, 0.5401]","[0.7756, 0.4265]","[0.7468, 0.525]","[0.7197, 0.6057]"
"[0.5965, 0.9644]","[0.3978, 0.8804]","[0.2157, 0.7664]","[0.0323, 0.6875]","[-0.116, 0.6544]","[0.3577, 0.4372]","[0.3377, 0.1925]","[0.3352, 0.0504]","[0.3413, -0.0794]","[0.4931, 0.4392]","[0.5232, 0.3179]","[0.5361, 0.5024]","[0.5389, 0.6307]","[0.6247, 0.4775]","[0.6538, 0.3703]","[0.6429, 0.5324]","[0.6198, 0.6437]","[0.7392, 0.5374]","[0.7757, 0.4251]","[0.7443, 0.5268]","[0.7165, 0.6045]"
"[0.5918, 0.9689]","[0.3919, 0.8824]","[0.2137, 0.7672]","[0.0272, 0.6834]","[-0.1264, 0.6525]","[0.3602, 0.4353]","[0.3406, 0.1873]","[0.3372, 0.0432]","[0.3419, -0.087]","[0.4947, 0.4387]","[0.5231, 0.3234]","[0.5319, 0.5088]","[0.5301, 0.6419]","[0.6259, 0.4788]","[0.6576, 0.3709]","[0.6409, 0.5336]","[0.6121, 0.6523]","[0.7385, 0.5402]","[0.7774, 0.425]","[0.743, 0.5242]","[0.7112, 0.6067]"
"[0.5986, 0.9693]","[0.3979, 0.881]","[0.2176, 0.7675]","[0.0294, 0.6841]","[-0.1231, 0.6545]","[0.3623, 0.4374]","[0.3414, 0.1902]","[0.3386, 0.0507]","[0.3437, -0.0758]","[0.4961, 0.4402]","[0.5235, 0.3257]","[0.5322, 0.5122]","[0.532, 0.6432]","[0.6278, 0.4808]","[0.6581, 0.3713]","[0.6416, 0.5358]","[0.6152, 0.6531]","[0.7404, 0.5443]","[0.7792, 0.4246]","[0.744, 0.5239]","[0.7138, 0.6058]"
