[0.6175, 0.9388],[0.4069, 0.8905],[0.2235, 0.7858],[0.0662, 0.732],[-0.0659, 0.713],[0.3803, 0.4436],[0.346, 0.1842],[0.3309, 0.0224],[0.3256, -0.0993],[0.5141, 0.4453],[0.5519, 0.2881],[0.567, 0.4457],[0.5687, 0.5817],[0.6409, 0.4851],[0.6754, 0.3586],[0.68, 0.5094],[0.6658, 0.6222],[0.7558, 0.5438],[0.7897, 0.4245],[0.7783, 0.5248],[0.7548, 0.6207]
[0.5812, 0.9607],[0.3934, 0.8911],[0.2128, 0.777],[0.0291, 0.7127],[-0.1281, 0.703],[0.3572, 0.4371],[0.3332, 0.1984],[0.3229, 0.0582],[0.3228, -0.0647],[0.4959, 0.446],[0.5315, 0.2833],[0.5352, 0.4558],[0.5317, 0.5933],[0.6249, 0.4931],[0.6658, 0.3771],[0.6493, 0.5344],[0.6207, 0.6545],[0.7427, 0.5563],[0.7818, 0.4513],[0.7516, 0.5461],[0.7116, 0.6303]
[0.5829, 0.9668],[0.3913, 0.8971],[0.2112, 0.7839],[0.0249, 0.7215],[-0.134, 0.7134],[0.3584, 0.4477],[0.3278, 0.2103],[0.3141, 0.0715],[0.3118, -0.047],[0.4978, 0.4559],[0.5317, 0.2848],[0.5342, 0.4561],[0.5307, 0.5906],[0.627, 0.5025],[0.6653, 0.3808],[0.6469, 0.5385],[0.6177, 0.6586],[0.7433, 0.5658],[0.7811, 0.4515],[0.75, 0.5458],[0.7093, 0.6328]
[0.5866, 0.9671],[0.3858, 0.8918],[0.1957, 0.7736],[-0.0039, 0.7098],[-0.1764, 0.6987],[0.3562, 0.4431],[0.3335, 0.2012],[0.3257, 0.0556],[0.3281, -0.0727],[0.4974, 0.4514],[0.5283, 0.2836],[0.5305, 0.4607],[0.5263, 0.5979],[0.6294, 0.4988],[0.6642, 0.3807],[0.6477, 0.5382],[0.6164, 0.6584],[0.7451, 0.5623],[0.7815, 0.4535],[0.7522, 0.5436],[0.7113, 0.6239]
[0.5838, 0.9739],[0.3846, 0.8947],[0.1939, 0.7776],[-0.007, 0.7119],[-0.1737, 0.7039],[0.3516, 0.4431],[0.3305, 0.1942],[0.3252, 0.0489],[0.3298, -0.077],[0.4954, 0.452],[0.5288, 0.2874],[0.5352, 0.4596],[0.5327, 0.5973],[0.6279, 0.4984],[0.665, 0.3799],[0.6501, 0.5346],[0.619, 0.6556],[0.7439, 0.5606],[0.7835, 0.4557],[0.7538, 0.5466],[0.7124, 0.6284]
[0.5824, 0.9703],[0.3869, 0.8971],[0.2, 0.7833],[0.0052, 0.7184],[-0.1569, 0.7109],[0.3519, 0.4438],[0.3281, 0.1904],[0.3227, 0.0435],[0.3296, -0.0848],[0.4958, 0.4524],[0.5279, 0.2848],[0.5326, 0.4583],[0.5309, 0.5979],[0.6281, 0.4987],[0.663, 0.3777],[0.6486, 0.5337],[0.6202, 0.6555],[0.7448, 0.561],[0.7823, 0.4553],[0.7524, 0.5462],[0.7118, 0.6288]
[0.5892, 0.9726],[0.3931, 0.8981],[0.2043, 0.7838],[0.0082, 0.7191],[-0.1576, 0.7083],[0.354, 0.4457],[0.333, 0.1934],[0.327, 0.0469],[0.331, -0.0803],[0.4971, 0.4538],[0.5285, 0.2876],[0.539, 0.4642],[0.5419, 0.6059],[0.6289, 0.4992],[0.6638, 0.379],[0.6539, 0.5364],[0.6285, 0.6593],[0.7452, 0.5603],[0.7849, 0.4515],[0.7579, 0.5423],[0.7185, 0.6254]
[0.5866, 0.9733],[0.3914, 0.899],[0.2004, 0.7806],[0.0014, 0.7141],[-0.1659, 0.7067],[0.3552, 0.4453],[0.3314, 0.1946],[0.3251, 0.0511],[0.3292, -0.0728],[0.497, 0.4536],[0.529, 0.2849],[0.5389, 0.4615],[0.5409, 0.6005],[0.6281, 0.5006],[0.6649, 0.3789],[0.653, 0.5381],[0.6264, 0.6609],[0.7447, 0.5637],[0.7836, 0.4539],[0.7557, 0.5469],[0.7156, 0.632]
[0.5859, 0.9715],[0.3891, 0.8984],[0.2016, 0.7843],[0.0028, 0.7187],[-0.165, 0.7089],[0.3552, 0.4465],[0.332, 0.1908],[0.3261, 0.0407],[0.3322, -0.0915],[0.4963, 0.4541],[0.5263, 0.2864],[0.5362, 0.4634],[0.5395, 0.6024],[0.6273, 0.5002],[0.663, 0.3795],[0.6519, 0.5365],[0.6261, 0.6582],[0.7431, 0.5631],[0.7822, 0.4545],[0.7548, 0.5469],[0.7152, 0.6313]
[0.5863, 0.9747],[0.3884, 0.8977],[0.1981, 0.7816],[-0.0037, 0.7172],[-0.1748, 0.7073],[0.3553, 0.448],[0.3317, 0.1939],[0.3256, 0.0444],[0.3311, -0.0872],[0.4967, 0.4553],[0.5251, 0.2865],[0.5329, 0.463],[0.5355, 0.6027],[0.6277, 0.502],[0.6614, 0.38],[0.6483, 0.5375],[0.6223, 0.6605],[0.7426, 0.5652],[0.7793, 0.4543],[0.7509, 0.5468],[0.7118, 0.6323]
[0.5797, 0.9683],[0.3854, 0.8973],[0.1958, 0.7816],[-0.0044, 0.7184],[-0.1731, 0.7101],[0.3522, 0.4424],[0.3292, 0.1878],[0.3247, 0.0397],[0.3316, -0.0892],[0.4937, 0.451],[0.5241, 0.2885],[0.5315, 0.4623],[0.5319, 0.6],[0.625, 0.4973],[0.6594, 0.3796],[0.6459, 0.5343],[0.6184, 0.6543],[0.7422, 0.5598],[0.7785, 0.4529],[0.7485, 0.5457],[0.7068, 0.6303]
[0.5823, 0.9705],[0.3867, 0.8975],[0.1956, 0.7796],[-0.0043, 0.719],[-0.1729, 0.7097],[0.3504, 0.4407],[0.3259, 0.193],[0.3207, 0.0495],[0.3249, -0.0759],[0.4907, 0.4484],[0.52, 0.2871],[0.5303, 0.4611],[0.5327, 0.5997],[0.6212, 0.4943],[0.6553, 0.3805],[0.6446, 0.537],[0.6192, 0.6569],[0.738, 0.5563],[0.7697, 0.4542],[0.7432, 0.5496],[0.7063, 0.6334]
[0.5775, 0.9655],[0.3829, 0.8954],[0.1921, 0.7784],[-0.0067, 0.7169],[-0.1753, 0.7088],[0.3456, 0.4401],[0.3201, 0.1961],[0.313, 0.0542],[0.3156, -0.0705],[0.485, 0.4474],[0.516, 0.2871],[0.5266, 0.4604],[0.5287, 0.5966],[0.6152, 0.4925],[0.6509, 0.3777],[0.6399, 0.5322],[0.614, 0.6503],[0.7323, 0.5545],[0.7665, 0.449],[0.7401, 0.5454],[0.702, 0.6311]
[0.5728, 0.9645],[0.3795, 0.8948],[0.1927, 0.7788],[-0.0026, 0.7173],[-0.1671, 0.7097],[0.3457, 0.4393],[0.3195, 0.1947],[0.3125, 0.0539],[0.3161, -0.0691],[0.486, 0.4473],[0.5158, 0.2874],[0.5222, 0.4615],[0.5218, 0.5982],[0.6161, 0.4927],[0.6506, 0.3762],[0.636, 0.532],[0.6086, 0.6517],[0.7324, 0.5545],[0.7666, 0.4469],[0.7376, 0.5427],[0.6977, 0.6291]
[0.5754, 0.9624],[0.3848, 0.8962],[0.1982, 0.7802],[0.0018, 0.7179],[-0.1639, 0.7085],[0.3451, 0.4407],[0.317, 0.1868],[0.3085, 0.0365],[0.3118, -0.0938],[0.4848, 0.4478],[0.5179, 0.2872],[0.527, 0.463],[0.5274, 0.6007],[0.6156, 0.4922],[0.6514, 0.377],[0.6392, 0.5376],[0.6115, 0.6567],[0.7335, 0.553],[0.7674, 0.4514],[0.7404, 0.5474],[0.7029, 0.6283]
[0.579, 0.9635],[0.3848, 0.8932],[0.1948, 0.7754],[-0.0035, 0.7128],[-0.1707, 0.7038],[0.3472, 0.4384],[0.3234, 0.1927],[0.3158, 0.0496],[0.3188, -0.0745],[0.4879, 0.4455],[0.5201, 0.2879],[0.5246, 0.4665],[0.5231, 0.6047],[0.6179, 0.49],[0.653, 0.3788],[0.6379, 0.5395],[0.6113, 0.6578],[0.7347, 0.5509],[0.764, 0.4516],[0.7355, 0.5488],[0.7006, 0.629]
[0.5819, 0.9632],[0.3876, 0.8966],[0.2007, 0.7809],[0.0072, 0.7158],[-0.1547, 0.7051],[0.3492, 0.4378],[0.3238, 0.191],[0.3158, 0.046],[0.3185, -0.0789],[0.489, 0.446],[0.5203, 0.2904],[0.5286, 0.4639],[0.5273, 0.6017],[0.6191, 0.4902],[0.6547, 0.3765],[0.6414, 0.5384],[0.6118, 0.6595],[0.7358, 0.5516],[0.7711, 0.4537],[0.744, 0.5521],[0.7057, 0.6349]
[0.5785, 0.9661],[0.3829, 0.8939],[0.194, 0.7716],[-0.0059, 0.7069],[-0.1754, 0.6996],[0.349, 0.4383],[0.3248, 0.1909],[0.3188, 0.045],[0.324, -0.0829],[0.4884, 0.4468],[0.5246, 0.2871],[0.5303, 0.463],[0.5276, 0.6012],[0.6177, 0.4929],[0.6569, 0.3819],[0.642, 0.5432],[0.6132, 0.6625],[0.7335, 0.556],[0.768, 0.4565],[0.7412, 0.5534],[0.7048, 0.6348]
[0.5777, 0.964],[0.3851, 0.8957],[0.196, 0.7752],[-0.0004, 0.7106],[-0.166, 0.7035],[0.3454, 0.4388],[0.3186, 0.1893],[0.3119, 0.0446],[0.3165, -0.0794],[0.4863, 0.4473],[0.5204, 0.2901],[0.5254, 0.4639],[0.5223, 0.6002],[0.6173, 0.4928],[0.6546, 0.3807],[0.6392, 0.5423],[0.6095, 0.661],[0.7357, 0.5556],[0.7708, 0.4579],[0.7422, 0.5543],[0.7036, 0.6344]
[0.5764, 0.9626],[0.3823, 0.8922],[0.1959, 0.774],[0.0016, 0.708],[-0.1625, 0.6962],[0.3478, 0.4335],[0.3261, 0.1863],[0.3196, 0.0418],[0.3238, -0.0838],[0.489, 0.4441],[0.5229, 0.2938],[0.529, 0.4681],[0.5279, 0.604],[0.6194, 0.4911],[0.6575, 0.3839],[0.6424, 0.5462],[0.6141, 0.665],[0.7363, 0.5547],[0.7685, 0.4591],[0.7406, 0.558],[0.7058, 0.6387]
[0.5806, 0.9696],[0.3874, 0.8954],[0.2011, 0.7748],[0.0078, 0.7105],[-0.1555, 0.7005],[0.3522, 0.4386],[0.331, 0.2015],[0.3222, 0.0625],[0.3223, -0.0594],[0.4916, 0.4485],[0.5225, 0.2941],[0.5283, 0.4625],[0.5284, 0.5963],[0.6216, 0.4947],[0.6574, 0.3856],[0.641, 0.5458],[0.6148, 0.6646],[0.7407, 0.5582],[0.7706, 0.456],[0.7405, 0.5555],[0.7052, 0.6407]
[0.5756, 0.965],[0.3852, 0.8943],[0.2024, 0.7743],[0.0135, 0.7079],[-0.1473, 0.6977],[0.3513, 0.4405],[0.3316, 0.1964],[0.3251, 0.0526],[0.3287, -0.0723],[0.4911, 0.4513],[0.5224, 0.294],[0.5285, 0.4682],[0.5276, 0.6054],[0.6221, 0.499],[0.6572, 0.3852],[0.6443, 0.5448],[0.6175, 0.6634],[0.7407, 0.5639],[0.7755, 0.46],[0.7481, 0.5562],[0.7113, 0.6393]
[0.5766, 0.9724],[0.3867, 0.8998],[0.2039, 0.7742],[0.0146, 0.7049],[-0.149, 0.6942],[0.3539, 0.4454],[0.3292, 0.2002],[0.3177, 0.0564],[0.3164, -0.0684],[0.4926, 0.4546],[0.5277, 0.2937],[0.5312, 0.4717],[0.528, 0.6106],[0.6219, 0.5009],[0.6597, 0.387],[0.643, 0.5499],[0.6156, 0.6703],[0.7393, 0.5639],[0.7739, 0.4581],[0.7459, 0.5564],[0.7095, 0.6412]
[0.5741, 0.9747],[0.3842, 0.9026],[0.2046, 0.7765],[0.0199, 0.7048],[-0.1396, 0.6932],[0.3542, 0.4498],[0.328, 0.209],[0.3145, 0.0685],[0.3126, -0.0542],[0.4931, 0.4584],[0.5302, 0.2927],[0.5288, 0.4707],[0.523, 0.6098],[0.6228, 0.5052],[0.6623, 0.3853],[0.6414, 0.5476],[0.6135, 0.6686],[0.7411, 0.5702],[0.7766, 0.4589],[0.7472, 0.5576],[0.7118, 0.6452]
[0.5762, 0.975],[0.3848, 0.9009],[0.2003, 0.7727],[0.0105, 0.701],[-0.1531, 0.6863],[0.3549, 0.4453],[0.3308, 0.207],[0.3181, 0.0683],[0.3154, -0.0535],[0.4922, 0.4559],[0.5306, 0.2925],[0.5291, 0.4712],[0.5221, 0.6087],[0.6207, 0.5046],[0.6639, 0.3869],[0.6419, 0.5486],[0.611, 0.6684],[0.7372, 0.5705],[0.7755, 0.4593],[0.7454, 0.5592],[0.7082, 0.647]
[0.576, 0.9742],[0.3854, 0.9006],[0.2, 0.7734],[0.0103, 0.7029],[-0.1488, 0.6926],[0.3534, 0.4471],[0.3314, 0.2001],[0.3248, 0.055],[0.3296, -0.0731],[0.4921, 0.4573],[0.5279, 0.2944],[0.5276, 0.4717],[0.5224, 0.6088],[0.6222, 0.5043],[0.6622, 0.3855],[0.643, 0.5466],[0.613, 0.667],[0.7405, 0.5685],[0.7791, 0.4594],[0.7487, 0.5567],[0.7096, 0.6423]
[0.5775, 0.9668],[0.3844, 0.8923],[0.2004, 0.7756],[0.0083, 0.7017],[-0.1537, 0.6851],[0.3524, 0.4434],[0.3314, 0.197],[0.3207, 0.0518],[0.3216, -0.0774],[0.4915, 0.4556],[0.5297, 0.2912],[0.5302, 0.4723],[0.5263, 0.6109],[0.6212, 0.5048],[0.6641, 0.3914],[0.6408, 0.5548],[0.6081, 0.6766],[0.7372, 0.5692],[0.7763, 0.46],[0.7431, 0.5594],[0.702, 0.647]
[0.5778, 0.9654],[0.3834, 0.8891],[0.1982, 0.7758],[0.0014, 0.7036],[-0.1656, 0.6899],[0.351, 0.4427],[0.3333, 0.1969],[0.3253, 0.0529],[0.3286, -0.0741],[0.4923, 0.4551],[0.527, 0.2936],[0.5304, 0.472],[0.5287, 0.6091],[0.623, 0.5032],[0.6603, 0.3909],[0.6414, 0.5528],[0.6108, 0.6743],[0.7384, 0.5652],[0.7736, 0.4605],[0.7431, 0.5595],[0.7049, 0.6457]
[0.5773, 0.9694],[0.3829, 0.8928],[0.1937, 0.7747],[-0.0048, 0.7019],[-0.1701, 0.6913],[0.3504, 0.443],[0.3334, 0.1987],[0.3274, 0.0562],[0.3336, -0.0692],[0.4925, 0.4551],[0.5261, 0.2967],[0.5282, 0.4716],[0.5266, 0.6081],[0.6233, 0.5026],[0.6602, 0.388],[0.6417, 0.5476],[0.6125, 0.6691],[0.739, 0.5649],[0.7731, 0.4599],[0.7429, 0.5551],[0.7063, 0.6384]
[0.576, 0.9664],[0.3797, 0.8931],[0.1903, 0.7733],[-0.0099, 0.7036],[-0.176, 0.6945],[0.351, 0.4404],[0.3343, 0.1925],[0.3276, 0.0479],[0.3332, -0.079],[0.4925, 0.4529],[0.5262, 0.2999],[0.5308, 0.4759],[0.5304, 0.6135],[0.6234, 0.5001],[0.6583, 0.3911],[0.6428, 0.5515],[0.6151, 0.6711],[0.7398, 0.5622],[0.7716, 0.4618],[0.7434, 0.561],[0.7081, 0.6448]
[0.577, 0.969],[0.3789, 0.8948],[0.1873, 0.7736],[-0.0146, 0.7035],[-0.1824, 0.6934],[0.3477, 0.4404],[0.3305, 0.1873],[0.325, 0.0385],[0.3316, -0.0913],[0.4899, 0.4527],[0.5247, 0.3015],[0.5295, 0.4792],[0.5287, 0.6168],[0.6215, 0.4987],[0.6583, 0.3891],[0.6422, 0.5513],[0.6136, 0.6716],[0.7382, 0.5599],[0.7705, 0.4587],[0.7416, 0.5598],[0.7061, 0.6441]
[0.5768, 0.968],[0.378, 0.8948],[0.188, 0.7761],[-0.009, 0.7047],[-0.1739, 0.695],[0.3466, 0.4403],[0.3322, 0.1892],[0.3257, 0.0413],[0.3305, -0.0882],[0.4897, 0.4521],[0.5262, 0.3039],[0.5313, 0.4799],[0.5305, 0.6161],[0.6217, 0.4975],[0.6578, 0.3896],[0.6418, 0.5526],[0.6142, 0.673],[0.7402, 0.5587],[0.7714, 0.4569],[0.7422, 0.5595],[0.707, 0.6451]
[0.579, 0.9687],[0.3809, 0.8965],[0.1914, 0.7773],[-0.0044, 0.7015],[-0.1691, 0.684],[0.3453, 0.4424],[0.3322, 0.1866],[0.3265, 0.0364],[0.332, -0.0954],[0.4879, 0.4545],[0.5229, 0.2988],[0.5288, 0.4764],[0.5287, 0.614],[0.6194, 0.5001],[0.6549, 0.3887],[0.6412, 0.5506],[0.6149, 0.6702],[0.7365, 0.5606],[0.768, 0.4556],[0.7414, 0.5575],[0.7084, 0.643]
