[0.6158, 0.8964],[0.4262, 0.8549],[0.2429, 0.7434],[0.0798, 0.6898],[-0.0535, 0.668],[0.4063, 0.4385],[0.3933, 0.2397],[0.3823, 0.1026],[0.3766, 0.0006],[0.5304, 0.4445],[0.5305, 0.3063],[0.5135, 0.4781],[0.5104, 0.5976],[0.6512, 0.4896],[0.6459, 0.3868],[0.6178, 0.5333],[0.6, 0.622],[0.7622, 0.5609],[0.7582, 0.4592],[0.7142, 0.5546],[0.6859, 0.6191]
[0.5963, 0.9219],[0.3939, 0.85],[0.2031, 0.7325],[0.0162, 0.6795],[-0.1368, 0.6723],[0.3671, 0.4148],[0.3569, 0.1752],[0.3515, 0.0344],[0.3521, -0.0828],[0.4982, 0.4301],[0.4937, 0.3009],[0.4798, 0.4811],[0.4822, 0.6166],[0.6214, 0.4821],[0.6121, 0.4142],[0.5811, 0.5779],[0.5655, 0.6802],[0.7385, 0.5506],[0.7292, 0.478],[0.6789, 0.5833],[0.6477, 0.6541]
[0.5965, 0.9224],[0.3917, 0.8473],[0.1947, 0.7267],[0.0004, 0.6778],[-0.1538, 0.676],[0.3636, 0.415],[0.3569, 0.1725],[0.3547, 0.0274],[0.3567, -0.0942],[0.4935, 0.4294],[0.484, 0.2958],[0.4715, 0.4764],[0.475, 0.6111],[0.6171, 0.4792],[0.6086, 0.4117],[0.5789, 0.5804],[0.562, 0.6852],[0.7337, 0.5454],[0.7209, 0.4785],[0.6731, 0.5871],[0.6445, 0.6581]
[0.5939, 0.9261],[0.3913, 0.8517],[0.1956, 0.7327],[0.0098, 0.6786],[-0.1355, 0.666],[0.3623, 0.4167],[0.3548, 0.1798],[0.3486, 0.0394],[0.3449, -0.077],[0.4925, 0.4302],[0.486, 0.3001],[0.4715, 0.4746],[0.4724, 0.6103],[0.6147, 0.4783],[0.6095, 0.4135],[0.5799, 0.5778],[0.5632, 0.6822],[0.7305, 0.5424],[0.7215, 0.4784],[0.6752, 0.5846],[0.6474, 0.6547]
[0.588, 0.9215],[0.3886, 0.8502],[0.1942, 0.7329],[0.0102, 0.6792],[-0.1352, 0.6682],[0.3594, 0.4129],[0.3524, 0.1764],[0.3499, 0.0369],[0.3518, -0.0806],[0.4895, 0.4267],[0.4854, 0.2966],[0.4703, 0.4742],[0.471, 0.6086],[0.6123, 0.4759],[0.6079, 0.4136],[0.5762, 0.5784],[0.5582, 0.6809],[0.7291, 0.5414],[0.72, 0.4774],[0.6714, 0.5847],[0.6414, 0.6543]
[0.5873, 0.919],[0.3877, 0.8483],[0.195, 0.7319],[0.0066, 0.68],[-0.1437, 0.6715],[0.3565, 0.4095],[0.3505, 0.1681],[0.35, 0.0219],[0.3555, -0.1016],[0.4871, 0.4235],[0.4824, 0.2981],[0.4699, 0.4777],[0.473, 0.6109],[0.6104, 0.4729],[0.6036, 0.4139],[0.5738, 0.5805],[0.5568, 0.6827],[0.7276, 0.5387],[0.7155, 0.4777],[0.6683, 0.5867],[0.6396, 0.6559]
[0.5871, 0.9202],[0.3845, 0.847],[0.192, 0.7327],[0.0042, 0.6804],[-0.1449, 0.6748],[0.3584, 0.4132],[0.3539, 0.1737],[0.3522, 0.0307],[0.3542, -0.0881],[0.4897, 0.428],[0.4856, 0.299],[0.473, 0.4731],[0.4737, 0.6082],[0.6116, 0.4756],[0.6059, 0.4128],[0.5765, 0.5788],[0.5577, 0.6848],[0.7262, 0.5387],[0.7151, 0.477],[0.6691, 0.5875],[0.6397, 0.6607]
[0.587, 0.926],[0.3865, 0.8533],[0.1931, 0.7351],[0.0067, 0.6821],[-0.1421, 0.6795],[0.3572, 0.4195],[0.3499, 0.1792],[0.3466, 0.0343],[0.3485, -0.086],[0.4876, 0.4329],[0.4839, 0.2975],[0.4694, 0.4704],[0.469, 0.6048],[0.6101, 0.4798],[0.6063, 0.4116],[0.5768, 0.5772],[0.5578, 0.6819],[0.7261, 0.5429],[0.7164, 0.4803],[0.6701, 0.5887],[0.6402, 0.6594]
[0.5862, 0.9204],[0.386, 0.849],[0.1928, 0.7344],[0.0092, 0.6805],[-0.1371, 0.6691],[0.3527, 0.414],[0.3484, 0.1735],[0.3472, 0.0299],[0.3498, -0.0913],[0.4841, 0.4275],[0.4801, 0.2982],[0.4669, 0.4771],[0.4674, 0.6145],[0.6077, 0.4758],[0.6018, 0.4158],[0.572, 0.584],[0.553, 0.6907],[0.7238, 0.5401],[0.7119, 0.4811],[0.6645, 0.5919],[0.6338, 0.6642]
[0.5866, 0.9273],[0.3827, 0.8534],[0.1882, 0.7345],[0.0009, 0.6793],[-0.1475, 0.6712],[0.3486, 0.4195],[0.3445, 0.1782],[0.3451, 0.0308],[0.3479, -0.0918],[0.4785, 0.432],[0.4705, 0.3023],[0.463, 0.4773],[0.4663, 0.6115],[0.6018, 0.4781],[0.5958, 0.4156],[0.569, 0.5815],[0.5499, 0.689],[0.7185, 0.5416],[0.7071, 0.4778],[0.662, 0.5868],[0.6301, 0.6626]
[0.5816, 0.927],[0.3761, 0.8529],[0.1796, 0.7347],[-0.0047, 0.6793],[-0.1507, 0.6668],[0.3462, 0.4198],[0.3402, 0.1776],[0.337, 0.0325],[0.3363, -0.0903],[0.477, 0.4321],[0.4657, 0.2986],[0.4518, 0.4777],[0.4552, 0.6142],[0.6012, 0.4802],[0.5912, 0.4171],[0.5596, 0.5869],[0.5424, 0.6947],[0.7188, 0.5454],[0.7053, 0.4781],[0.6555, 0.5884],[0.6242, 0.6638]
[0.5836, 0.9304],[0.3767, 0.8553],[0.1803, 0.7352],[-0.0028, 0.6803],[-0.1479, 0.6687],[0.351, 0.4217],[0.346, 0.1836],[0.3435, 0.0413],[0.3432, -0.0779],[0.4808, 0.4351],[0.47, 0.3009],[0.4524, 0.4769],[0.4521, 0.6116],[0.6034, 0.4837],[0.5954, 0.4168],[0.5611, 0.5858],[0.5412, 0.6931],[0.7198, 0.549],[0.709, 0.4804],[0.6571, 0.591],[0.6227, 0.6667]
[0.5821, 0.9267],[0.3763, 0.8532],[0.1802, 0.7335],[-0.0036, 0.6832],[-0.1494, 0.6778],[0.347, 0.4187],[0.3416, 0.179],[0.3405, 0.0354],[0.3415, -0.0859],[0.4774, 0.4319],[0.4691, 0.3007],[0.4527, 0.4787],[0.4521, 0.6123],[0.6012, 0.4807],[0.5948, 0.4151],[0.5612, 0.5824],[0.5404, 0.6867],[0.7185, 0.5468],[0.7093, 0.4793],[0.658, 0.5879],[0.6243, 0.6605]
[0.5841, 0.9232],[0.378, 0.8501],[0.1855, 0.7348],[0.0012, 0.6876],[-0.1467, 0.6868],[0.3485, 0.4205],[0.3416, 0.1812],[0.339, 0.0385],[0.3389, -0.0809],[0.4791, 0.4323],[0.4656, 0.3015],[0.451, 0.4759],[0.4527, 0.6109],[0.6023, 0.4799],[0.591, 0.4156],[0.5599, 0.5804],[0.5416, 0.6869],[0.7191, 0.5442],[0.7066, 0.4803],[0.6551, 0.5876],[0.6204, 0.6623]
[0.5829, 0.9284],[0.3796, 0.8518],[0.1838, 0.7376],[-0.001, 0.6823],[-0.1397, 0.6673],[0.3501, 0.4253],[0.3409, 0.184],[0.3356, 0.043],[0.3352, -0.0784],[0.4794, 0.4371],[0.4672, 0.3007],[0.4547, 0.4816],[0.4636, 0.613],[0.6022, 0.4848],[0.5951, 0.4132],[0.5664, 0.5832],[0.5561, 0.684],[0.7162, 0.5499],[0.711, 0.4768],[0.6594, 0.5874],[0.6328, 0.6567]
[0.5786, 0.9247],[0.3747, 0.8504],[0.1815, 0.7378],[0.0005, 0.6815],[-0.1383, 0.6682],[0.3466, 0.421],[0.3386, 0.1795],[0.3354, 0.0379],[0.3363, -0.0849],[0.4767, 0.4343],[0.4662, 0.301],[0.4535, 0.4813],[0.4592, 0.6104],[0.6004, 0.4845],[0.5948, 0.4139],[0.5659, 0.5813],[0.5519, 0.6803],[0.7153, 0.5525],[0.7119, 0.4785],[0.6604, 0.5875],[0.6301, 0.6566]
[0.5785, 0.9242],[0.3773, 0.8507],[0.1813, 0.7335],[-0.0034, 0.6788],[-0.1468, 0.6697],[0.3476, 0.4222],[0.3384, 0.1841],[0.3335, 0.0424],[0.3328, -0.0776],[0.4778, 0.4334],[0.4648, 0.2986],[0.4506, 0.4779],[0.4557, 0.6104],[0.6013, 0.4827],[0.5882, 0.4135],[0.5604, 0.5802],[0.5502, 0.6816],[0.7187, 0.5495],[0.7048, 0.4819],[0.6552, 0.5908],[0.629, 0.6608]
[0.5848, 0.9261],[0.3854, 0.8514],[0.189, 0.7313],[0.0026, 0.6803],[-0.1402, 0.6749],[0.3604, 0.4245],[0.3537, 0.1895],[0.3478, 0.0499],[0.3448, -0.0665],[0.4896, 0.4366],[0.4777, 0.3038],[0.4607, 0.4813],[0.4642, 0.6145],[0.6122, 0.4861],[0.6034, 0.4155],[0.5719, 0.5797],[0.5579, 0.68],[0.7295, 0.5529],[0.7245, 0.481],[0.6707, 0.5855],[0.6367, 0.6534]
[0.5877, 0.9145],[0.3856, 0.8471],[0.1889, 0.7307],[0.0023, 0.679],[-0.1432, 0.6746],[0.3566, 0.4154],[0.3518, 0.1754],[0.3539, 0.0329],[0.3613, -0.0879],[0.4862, 0.4295],[0.4792, 0.305],[0.4611, 0.4826],[0.4606, 0.6113],[0.6087, 0.4789],[0.6015, 0.4136],[0.5693, 0.5759],[0.5511, 0.6747],[0.7252, 0.545],[0.714, 0.4792],[0.6647, 0.5858],[0.6353, 0.653]
[0.5852, 0.9189],[0.3844, 0.847],[0.1884, 0.7312],[-0.0016, 0.6808],[-0.1498, 0.6782],[0.356, 0.4221],[0.3479, 0.1843],[0.3429, 0.0411],[0.3414, -0.0777],[0.4854, 0.4353],[0.4717, 0.3014],[0.4566, 0.475],[0.4607, 0.6085],[0.6069, 0.4845],[0.5952, 0.4139],[0.5641, 0.5778],[0.5496, 0.682],[0.7222, 0.5501],[0.711, 0.479],[0.6606, 0.5866],[0.6308, 0.6601]
[0.5855, 0.924],[0.3858, 0.853],[0.1901, 0.7346],[0.0027, 0.6827],[-0.1434, 0.6748],[0.3557, 0.4241],[0.3523, 0.1859],[0.352, 0.0399],[0.3558, -0.082],[0.4845, 0.4366],[0.4723, 0.3021],[0.4564, 0.4779],[0.4595, 0.6127],[0.6067, 0.4853],[0.5968, 0.4147],[0.5661, 0.5784],[0.5511, 0.683],[0.7234, 0.5514],[0.7135, 0.4819],[0.664, 0.5877],[0.6338, 0.6597]
[0.5858, 0.9258],[0.3826, 0.8531],[0.1871, 0.7351],[0.0011, 0.6815],[-0.1451, 0.6717],[0.3501, 0.4239],[0.3442, 0.1812],[0.3439, 0.0327],[0.3469, -0.0935],[0.4799, 0.4345],[0.4651, 0.3046],[0.4538, 0.4844],[0.46, 0.619],[0.6032, 0.4817],[0.5899, 0.4167],[0.562, 0.583],[0.5485, 0.6877],[0.7195, 0.5468],[0.7043, 0.4824],[0.6555, 0.5917],[0.6278, 0.6643]
[0.585, 0.9254],[0.3816, 0.8522],[0.1861, 0.7341],[0.0009, 0.678],[-0.1425, 0.661],[0.3508, 0.4242],[0.344, 0.1808],[0.3406, 0.0339],[0.3407, -0.0912],[0.4804, 0.4352],[0.4684, 0.3072],[0.454, 0.486],[0.4592, 0.6197],[0.6035, 0.4827],[0.5933, 0.4169],[0.5625, 0.5834],[0.549, 0.6861],[0.7198, 0.5474],[0.7093, 0.4832],[0.6581, 0.5933],[0.6297, 0.6644]
[0.5847, 0.9225],[0.3805, 0.85],[0.1849, 0.7347],[0.0034, 0.6791],[-0.1377, 0.6615],[0.3473, 0.4183],[0.3398, 0.1775],[0.3348, 0.0351],[0.332, -0.0852],[0.4775, 0.4313],[0.4651, 0.3035],[0.4533, 0.4794],[0.457, 0.6142],[0.6009, 0.4802],[0.59, 0.4163],[0.562, 0.5817],[0.5469, 0.6867],[0.7182, 0.5456],[0.7059, 0.4804],[0.6589, 0.5898],[0.6301, 0.6636]
[0.5811, 0.926],[0.3769, 0.8514],[0.18, 0.7318],[-0.0045, 0.678],[-0.1482, 0.6642],[0.3455, 0.419],[0.3389, 0.1777],[0.3349, 0.0346],[0.3312, -0.0857],[0.4755, 0.4324],[0.4619, 0.3023],[0.4506, 0.4762],[0.4543, 0.6109],[0.5989, 0.481],[0.5853, 0.4164],[0.5579, 0.5823],[0.5431, 0.6884],[0.7163, 0.5465],[0.7011, 0.4813],[0.654, 0.5915],[0.6259, 0.6665]
[0.5805, 0.9266],[0.377, 0.85],[0.1776, 0.7276],[-0.0148, 0.677],[-0.1625, 0.669],[0.3446, 0.4174],[0.3391, 0.1765],[0.3357, 0.0345],[0.3329, -0.0842],[0.4733, 0.4315],[0.4629, 0.3007],[0.4498, 0.4751],[0.4514, 0.6079],[0.5966, 0.4808],[0.5877, 0.4147],[0.5563, 0.5796],[0.5374, 0.6846],[0.7142, 0.5472],[0.7028, 0.482],[0.6532, 0.5907],[0.621, 0.6655]
[0.5693, 0.9222],[0.3658, 0.848],[0.1741, 0.7318],[-0.0048, 0.6736],[-0.1449, 0.6536],[0.342, 0.4206],[0.3358, 0.1794],[0.3334, 0.0379],[0.3326, -0.0798],[0.4727, 0.4346],[0.4607, 0.3058],[0.4451, 0.4805],[0.4452, 0.6151],[0.5951, 0.4825],[0.5876, 0.4163],[0.5538, 0.5847],[0.5335, 0.694],[0.7106, 0.5478],[0.7002, 0.4791],[0.6505, 0.5898],[0.6181, 0.6681]
[0.565, 0.9175],[0.3652, 0.8472],[0.1751, 0.7318],[-0.0018, 0.6749],[-0.1409, 0.6571],[0.3346, 0.4141],[0.3264, 0.168],[0.3243, 0.0236],[0.3274, -0.0991],[0.4651, 0.4278],[0.4511, 0.2992],[0.435, 0.4795],[0.4373, 0.6128],[0.5888, 0.4778],[0.5755, 0.4108],[0.5413, 0.5822],[0.5231, 0.6879],[0.7063, 0.5457],[0.6889, 0.4781],[0.6367, 0.5923],[0.6057, 0.6669]
[0.568, 0.9214],[0.3679, 0.8515],[0.1759, 0.7354],[0.0, 0.6798],[-0.1377, 0.6665],[0.3374, 0.4201],[0.3257, 0.1763],[0.3205, 0.035],[0.3185, -0.0824],[0.4659, 0.4335],[0.4463, 0.2993],[0.4328, 0.4759],[0.4388, 0.6097],[0.5887, 0.4823],[0.5722, 0.409],[0.5399, 0.5794],[0.5258, 0.6855],[0.7063, 0.5494],[0.6888, 0.475],[0.6354, 0.5883],[0.6047, 0.6649]
[0.5645, 0.9247],[0.3647, 0.8539],[0.1721, 0.7362],[-0.0055, 0.6786],[-0.1451, 0.6597],[0.3342, 0.424],[0.3233, 0.1823],[0.3178, 0.0412],[0.3162, -0.0758],[0.4626, 0.4357],[0.447, 0.302],[0.4321, 0.4777],[0.4352, 0.6109],[0.5851, 0.4826],[0.572, 0.4122],[0.5391, 0.5801],[0.5224, 0.6867],[0.7037, 0.5482],[0.6869, 0.4772],[0.635, 0.5891],[0.6028, 0.6668]
[0.5656, 0.9234],[0.3663, 0.8527],[0.1725, 0.734],[-0.0061, 0.6753],[-0.1484, 0.6569],[0.3333, 0.4215],[0.3208, 0.1797],[0.3131, 0.038],[0.3085, -0.0801],[0.4629, 0.4329],[0.4485, 0.3003],[0.4346, 0.4764],[0.4363, 0.6119],[0.5866, 0.4787],[0.5728, 0.4127],[0.5425, 0.5818],[0.526, 0.6905],[0.7051, 0.5424],[0.6835, 0.4792],[0.6363, 0.5932],[0.6083, 0.6718]
[0.5684, 0.9225],[0.3713, 0.8529],[0.1776, 0.7335],[-0.0036, 0.6752],[-0.1462, 0.657],[0.3387, 0.4232],[0.3277, 0.1821],[0.3213, 0.0416],[0.319, -0.0759],[0.4686, 0.4356],[0.4554, 0.3023],[0.4395, 0.4767],[0.4423, 0.6126],[0.5917, 0.482],[0.5799, 0.4183],[0.5487, 0.5876],[0.5345, 0.6956],[0.7096, 0.5455],[0.69, 0.4825],[0.6412, 0.5963],[0.614, 0.6742]
[0.5648, 0.9196],[0.3663, 0.8519],[0.1745, 0.7352],[-0.0041, 0.6803],[-0.1492, 0.6658],[0.3346, 0.4202],[0.3202, 0.176],[0.3143, 0.0337],[0.313, -0.0854],[0.464, 0.4333],[0.4481, 0.3048],[0.4353, 0.4805],[0.4397, 0.6142],[0.5876, 0.4819],[0.5738, 0.415],[0.5435, 0.5841],[0.528, 0.6926],[0.7071, 0.5483],[0.6862, 0.4815],[0.6378, 0.5938],[0.6085, 0.6723]
[0.5666, 0.9217],[0.3674, 0.8515],[0.1784, 0.739],[-0.004, 0.6842],[-0.1499, 0.6713],[0.3349, 0.4293],[0.323, 0.1881],[0.3174, 0.0451],[0.3156, -0.0733],[0.4625, 0.4392],[0.4407, 0.3052],[0.4316, 0.48],[0.4388, 0.6127],[0.5856, 0.4851],[0.5671, 0.4149],[0.5408, 0.5814],[0.5281, 0.6869],[0.7039, 0.5489],[0.6832, 0.481],[0.6346, 0.5909],[0.6047, 0.6667]
[0.5668, 0.9207],[0.3666, 0.8536],[0.1735, 0.7377],[-0.0055, 0.6824],[-0.1484, 0.6668],[0.3355, 0.4269],[0.3256, 0.1889],[0.3198, 0.0471],[0.3179, -0.0721],[0.4653, 0.4382],[0.4453, 0.3077],[0.4328, 0.4836],[0.4385, 0.6174],[0.588, 0.4847],[0.5699, 0.4196],[0.5408, 0.591],[0.5278, 0.6989],[0.7049, 0.5491],[0.6803, 0.4849],[0.6311, 0.6022],[0.6028, 0.6812]
[0.5716, 0.9214],[0.3659, 0.8517],[0.1738, 0.7374],[-0.008, 0.6823],[-0.1525, 0.6663],[0.3416, 0.4282],[0.335, 0.1924],[0.3325, 0.0487],[0.3336, -0.071],[0.4685, 0.4412],[0.4515, 0.308],[0.4372, 0.4775],[0.4406, 0.6087],[0.5902, 0.4885],[0.5762, 0.4166],[0.5445, 0.5767],[0.5282, 0.6814],[0.7074, 0.5539],[0.6905, 0.4845],[0.6394, 0.5921],[0.6076, 0.669]
[0.5788, 0.9219],[0.374, 0.8519],[0.1777, 0.735],[-0.0067, 0.6809],[-0.1519, 0.6691],[0.3484, 0.4263],[0.3422, 0.1925],[0.3396, 0.0505],[0.3406, -0.0682],[0.4764, 0.4388],[0.4648, 0.3081],[0.4485, 0.4792],[0.4504, 0.6107],[0.5976, 0.4864],[0.5919, 0.4168],[0.5574, 0.5787],[0.538, 0.6843],[0.7132, 0.5522],[0.7036, 0.4842],[0.6538, 0.5917],[0.6212, 0.6677]
[0.573, 0.9188],[0.3667, 0.8506],[0.1708, 0.7332],[-0.0132, 0.6806],[-0.1607, 0.671],[0.3396, 0.4231],[0.3318, 0.187],[0.3321, 0.0441],[0.3356, -0.0769],[0.4685, 0.435],[0.4561, 0.3085],[0.4425, 0.4799],[0.444, 0.6105],[0.5911, 0.4819],[0.5818, 0.4176],[0.55, 0.5797],[0.53, 0.685],[0.7079, 0.5467],[0.6925, 0.4818],[0.645, 0.5919],[0.6146, 0.6683]
[0.5775, 0.9334],[0.3734, 0.8597],[0.1786, 0.7413],[-0.0072, 0.6848],[-0.152, 0.6712],[0.3436, 0.4293],[0.3371, 0.1955],[0.3357, 0.0529],[0.3391, -0.0667],[0.4699, 0.4394],[0.4527, 0.3067],[0.4369, 0.4797],[0.4422, 0.6109],[0.5912, 0.4839],[0.5797, 0.4122],[0.549, 0.5764],[0.5365, 0.6825],[0.7087, 0.5461],[0.6943, 0.4813],[0.6436, 0.5867],[0.6157, 0.6588]
[0.5757, 0.9279],[0.3738, 0.8567],[0.1774, 0.7366],[-0.0028, 0.679],[-0.1446, 0.663],[0.3392, 0.4178],[0.3323, 0.1795],[0.3315, 0.0384],[0.335, -0.081],[0.4678, 0.4318],[0.4583, 0.3069],[0.4405, 0.4798],[0.4417, 0.6096],[0.5907, 0.4797],[0.581, 0.4131],[0.5474, 0.5744],[0.5309, 0.6774],[0.7096, 0.5444],[0.6921, 0.4804],[0.6414, 0.5864],[0.6135, 0.6578]
[0.5765, 0.9302],[0.3706, 0.8543],[0.1729, 0.734],[-0.0169, 0.6813],[-0.166, 0.6716],[0.3399, 0.4252],[0.3283, 0.1887],[0.3219, 0.0482],[0.32, -0.0692],[0.4683, 0.4359],[0.4493, 0.3089],[0.4372, 0.4831],[0.4441, 0.6152],[0.5909, 0.4823],[0.5715, 0.4161],[0.5446, 0.5809],[0.5345, 0.6865],[0.7097, 0.5459],[0.6846, 0.4829],[0.6372, 0.5899],[0.6135, 0.6623]
[0.5708, 0.9212],[0.3662, 0.8505],[0.1694, 0.7351],[-0.0123, 0.6789],[-0.1535, 0.6634],[0.3326, 0.4183],[0.3262, 0.1823],[0.3246, 0.0423],[0.3265, -0.075],[0.4634, 0.4304],[0.4524, 0.3076],[0.4366, 0.48],[0.4378, 0.6117],[0.5866, 0.4783],[0.5738, 0.4162],[0.5429, 0.5763],[0.5278, 0.6797],[0.7048, 0.5432],[0.6862, 0.4834],[0.6362, 0.5898],[0.6077, 0.6624]
[0.5726, 0.9245],[0.366, 0.8518],[0.1704, 0.738],[-0.0125, 0.6824],[-0.1557, 0.6642],[0.3335, 0.4246],[0.3243, 0.1903],[0.3191, 0.049],[0.3186, -0.0695],[0.4627, 0.4355],[0.4486, 0.3034],[0.4353, 0.4792],[0.4402, 0.6139],[0.5848, 0.4827],[0.5725, 0.4143],[0.5423, 0.5787],[0.5283, 0.685],[0.7014, 0.5471],[0.6853, 0.4829],[0.6363, 0.5909],[0.6079, 0.6647]
[0.5711, 0.9241],[0.367, 0.8543],[0.1702, 0.7381],[-0.0104, 0.6815],[-0.1501, 0.6633],[0.3328, 0.425],[0.3246, 0.1864],[0.3207, 0.0437],[0.3215, -0.0771],[0.4617, 0.4362],[0.4478, 0.307],[0.4337, 0.4849],[0.438, 0.6205],[0.5841, 0.4835],[0.5728, 0.4176],[0.5426, 0.5834],[0.528, 0.6894],[0.7007, 0.5477],[0.6842, 0.4848],[0.6359, 0.5951],[0.608, 0.6692]
[0.5693, 0.9246],[0.3666, 0.8552],[0.1695, 0.7385],[-0.0128, 0.6822],[-0.1545, 0.6637],[0.3306, 0.4259],[0.3208, 0.1856],[0.316, 0.0432],[0.3156, -0.0765],[0.4604, 0.4378],[0.4464, 0.306],[0.4335, 0.4825],[0.4387, 0.6167],[0.5834, 0.4852],[0.5697, 0.4191],[0.5415, 0.5859],[0.5295, 0.6903],[0.7008, 0.5489],[0.6815, 0.4864],[0.6329, 0.5979],[0.6067, 0.671]
